p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
18	-0.05963997	-1.034547	3.87167	-0.01411278	-0.7306725	3.82215	0.02468421	-0.4238904	3.752798	0.005039533	-0.2989048	3.79215	-0.1367285	-0.5682646	3.677751	-0.351613	-0.6321454	3.739141	-0.2472682	-0.4016133	3.874568	-0.2347354	-0.3494508	3.907461	0.1339976	-0.5275746	3.765542	0.1527233	-0.7096816	3.825187	0.08505572	-0.5098903	3.776074	0.1002748	-0.4725347	3.726123	-0.1281806	-1.00895	3.807094	-0.1159684	-1.411708	3.959093	-0.1161206	-1.765961	3.922812	-0.06579097	-1.816173	3.858575	0.006353421	-1.038122	3.850869	-0.1676182	-1.406211	3.939942	-0.1028883	-1.745905	3.914974	-0.07740195	-1.803809	3.851383	0.0154787	-0.5007685	3.772686	-0.2119229	-0.3032464	3.939943	-0.1977351	-0.3652231	3.888541	0.06028087	-0.3490287	3.723893	0.06037582	-0.4415407	3.671295
18	0.7195508	-1.040027	3.564291	0.7052469	-0.7460843	3.524945	0.6854389	-0.4523644	3.474914	0.647959	-0.3542109	3.53413	0.5693513	-0.5784869	3.340957	0.3926106	-0.5956044	3.21045	0.3039678	-0.5175902	3.45288	0.2549276	-0.5275466	3.508652	0.6845992	-0.5544873	3.335432	0.4494835	-0.5669283	3.210394	0.3040925	-0.5115196	3.353282	0.3061684	-0.5292155	3.431723	0.6453006	-1.031925	3.60397	0.6125934	-1.446211	3.700028	0.5420358	-1.797465	3.755888	0.5430486	-1.841679	3.675401	0.780659	-1.028	3.454046	0.6866507	-1.36343	3.529195	0.8710038	-1.74329	3.648063	0.9617942	-1.789707	3.637757	0.6906293	-0.5258386	3.489597	0.2133791	-0.5283623	3.554998	0.260504	-0.5047244	3.506872	0.2613819	-0.5285595	3.511896	0.3108414	-0.5075144	3.433132
18	0.7195508	-1.040027	3.564291	0.7052469	-0.7460843	3.524945	0.6854389	-0.4523644	3.474914	0.647959	-0.3542109	3.53413	0.5693513	-0.5784869	3.340957	0.3926106	-0.5956044	3.21045	0.3039678	-0.5175902	3.45288	0.2549276	-0.5275466	3.508652	0.6845992	-0.5544873	3.335432	0.4494835	-0.5669283	3.210394	0.3040925	-0.5115196	3.353282	0.3061684	-0.5292155	3.431723	0.6453006	-1.031925	3.60397	0.6125934	-1.446211	3.700028	0.5420358	-1.797465	3.755888	0.5430486	-1.841679	3.675401	0.780659	-1.028	3.454046	0.6866507	-1.36343	3.529195	0.8710038	-1.74329	3.648063	0.9617942	-1.789707	3.637757	0.6906293	-0.5258386	3.489597	0.2133791	-0.5283623	3.554998	0.260504	-0.5047244	3.506872	0.2613819	-0.5285595	3.511896	0.3108414	-0.5075144	3.433132
18	0.7432368	-1.040535	3.563985	0.7290803	-0.7454056	3.521654	0.7133176	-0.4527279	3.467638	0.6759894	-0.3570223	3.528795	0.5956293	-0.5720276	3.333062	0.4086138	-0.6089774	3.24294	0.2984389	-0.5539221	3.477558	0.2253159	-0.5666048	3.536647	0.735897	-0.5608068	3.335942	0.4807935	-0.5891441	3.232943	0.3321933	-0.556238	3.380698	0.3032135	-0.5518475	3.456728	0.6686908	-1.034443	3.603675	0.6336484	-1.450725	3.725365	0.5776565	-1.777324	3.782604	0.583683	-1.8245	3.677632	0.8045402	-1.026582	3.453643	0.7181894	-1.36522	3.523007	0.888858	-1.777059	3.660134	0.9870678	-1.827336	3.673345	0.717407	-0.5257378	3.48336	0.1701548	-0.5481962	3.5721	0.2044064	-0.5271025	3.52249	0.2282199	-0.5605734	3.533393	0.2730802	-0.5417327	3.464992
18	0.7432368	-1.040535	3.563985	0.7290803	-0.7454056	3.521654	0.7133176	-0.4527279	3.467638	0.6759894	-0.3570223	3.528795	0.5956293	-0.5720276	3.333062	0.4086138	-0.6089774	3.24294	0.2984389	-0.5539221	3.477558	0.2253159	-0.5666048	3.536647	0.735897	-0.5608068	3.335942	0.4807935	-0.5891441	3.232943	0.3321933	-0.556238	3.380698	0.3032135	-0.5518475	3.456728	0.6686908	-1.034443	3.603675	0.6336484	-1.450725	3.725365	0.5776565	-1.777324	3.782604	0.583683	-1.8245	3.677632	0.8045402	-1.026582	3.453643	0.7181894	-1.36522	3.523007	0.888858	-1.777059	3.660134	0.9870678	-1.827336	3.673345	0.717407	-0.5257378	3.48336	0.1701548	-0.5481962	3.5721	0.2044064	-0.5271025	3.52249	0.2282199	-0.5605734	3.533393	0.2730802	-0.5417327	3.464992
18	0.7587445	-1.042253	3.561291	0.758968	-0.756456	3.516486	0.7605229	-0.4751	3.46452	0.7229099	-0.3743455	3.520358	0.6429346	-0.5837597	3.327036	0.4371535	-0.623619	3.25758	0.291662	-0.5751243	3.489673	0.2170554	-0.5757831	3.544195	0.7907668	-0.5864591	3.339363	0.5229956	-0.6292619	3.25795	0.3511974	-0.6152332	3.368405	0.3159546	-0.5807385	3.451994	0.6831075	-1.034598	3.601284	0.6644883	-1.442611	3.725785	0.6472368	-1.759829	3.811723	0.6615071	-1.804073	3.677706	0.8232273	-1.034669	3.449536	0.774995	-1.386354	3.512414	0.9228169	-1.810627	3.664176	1.022359	-1.862451	3.693899	0.7622689	-0.5462374	3.479409	0.1591947	-0.5482257	3.581244	0.1705244	-0.5526155	3.512715	0.2387587	-0.5902607	3.498857	0.3229914	-0.5721502	3.432227
18	0.7587445	-1.042253	3.561291	0.758968	-0.756456	3.516486	0.7605229	-0.4751	3.46452	0.7229099	-0.3743455	3.520358	0.6429346	-0.5837597	3.327036	0.4371535	-0.623619	3.25758	0.291662	-0.5751243	3.489673	0.2170554	-0.5757831	3.544195	0.7907668	-0.5864591	3.339363	0.5229956	-0.6292619	3.25795	0.3511974	-0.6152332	3.368405	0.3159546	-0.5807385	3.451994	0.6831075	-1.034598	3.601284	0.6644883	-1.442611	3.725785	0.6472368	-1.759829	3.811723	0.6615071	-1.804073	3.677706	0.8232273	-1.034669	3.449536	0.774995	-1.386354	3.512414	0.9228169	-1.810627	3.664176	1.022359	-1.862451	3.693899	0.7622689	-0.5462374	3.479409	0.1591947	-0.5482257	3.581244	0.1705244	-0.5526155	3.512715	0.2387587	-0.5902607	3.498857	0.3229914	-0.5721502	3.432227
18	0.7954971	-1.068971	3.56343	0.804332	-0.7885821	3.518932	0.8127126	-0.5117407	3.464988	0.7666157	-0.4118233	3.518261	0.702503	-0.6167985	3.324911	0.4737821	-0.6628228	3.274667	0.3007635	-0.590746	3.482894	0.2453719	-0.5705341	3.516442	0.8330899	-0.6160817	3.340652	0.562333	-0.6909309	3.28653	0.3654405	-0.6328129	3.410282	0.29634	-0.5821906	3.479327	0.72006	-1.054434	3.601987	0.6739593	-1.443309	3.737291	0.7358108	-1.764021	3.823452	0.7305202	-1.831512	3.77635	0.8575333	-1.066208	3.454849	0.8137844	-1.417625	3.520975	0.9462883	-1.74816	3.636966	0.9616414	-1.778049	3.533948	0.8123188	-0.5814184	3.480548	0.1947804	-0.5220642	3.548612	0.1960365	-0.5648563	3.484673	0.2186483	-0.5526156	3.522278	0.3008858	-0.5659128	3.476104
18	0.7954971	-1.068971	3.56343	0.804332	-0.7885821	3.518932	0.8127126	-0.5117407	3.464988	0.7666157	-0.4118233	3.518261	0.702503	-0.6167985	3.324911	0.4737821	-0.6628228	3.274667	0.3007635	-0.590746	3.482894	0.2453719	-0.5705341	3.516442	0.8330899	-0.6160817	3.340652	0.562333	-0.6909309	3.28653	0.3654405	-0.6328129	3.410282	0.29634	-0.5821906	3.479327	0.72006	-1.054434	3.601987	0.6739593	-1.443309	3.737291	0.7358108	-1.764021	3.823452	0.7305202	-1.831512	3.77635	0.8575333	-1.066208	3.454849	0.8137844	-1.417625	3.520975	0.9462883	-1.74816	3.636966	0.9616414	-1.778049	3.533948	0.8123188	-0.5814184	3.480548	0.1947804	-0.5220642	3.548612	0.1960365	-0.5648563	3.484673	0.2186483	-0.5526156	3.522278	0.3008858	-0.5659128	3.476104
18	0.8391138	-1.098387	3.557672	0.8473922	-0.8195622	3.516299	0.8541428	-0.5434001	3.463262	0.798031	-0.4345587	3.513032	0.7406994	-0.6401615	3.322136	0.5032104	-0.6905672	3.27976	0.3343852	-0.5968549	3.465011	0.2900087	-0.5646505	3.486917	0.8779498	-0.6500355	3.345583	0.6094216	-0.7477719	3.310323	0.4059007	-0.6687282	3.411784	0.3298342	-0.597672	3.46821	0.7658336	-1.081312	3.585804	0.6835212	-1.445215	3.74444	0.833331	-1.768952	3.829077	0.8274497	-1.832173	3.818295	0.8956535	-1.095668	3.460384	0.840246	-1.455914	3.544568	0.9692184	-1.758402	3.639045	0.9887996	-1.802309	3.535421	0.8536162	-0.6125951	3.478776	0.2437098	-0.4986814	3.488457	0.2564631	-0.5717791	3.44986	0.2601666	-0.5542493	3.481951	0.3483404	-0.5791608	3.460752
