p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
1	0.3067454	-0.2661322	3.162075	0.2759898	-0.009573375	3.057048	0.2532897	0.2461709	2.94183	0.3013384	0.3685824	2.921164	0.1926748	0.1117042	2.881876	0.3133433	-0.1134222	2.901707	0.4418785	-0.2208045	3.02432	0.4441323	-0.2564221	3.089213	0.3336173	0.1690578	3.089631	0.2106945	-0.07296683	3.132208	0.1730658	-0.3162823	3.029898	0.2219806	-0.3342492	3.011782	0.2687101	-0.2774558	3.098391	0.451613	-0.5959851	3.367003	0.311419	-1.012437	3.549944	0.3663976	-1.060501	3.584641	0.339918	-0.2456568	3.153872	0.4457669	-0.5511005	3.279381	0.3318365	-0.8949624	3.605783	0.3457746	-1.013677	3.573597	0.2583606	0.1829941	2.972164	0.4513696	-0.283	3.113708	0.4190527	-0.2930558	3.086539	0.2300286	-0.3365923	2.999148	0.2306983	-0.3427053	3.000353
1	0.01252485	-0.02330795	3.576518	0.000417734	0.2079554	3.452386	-0.0002868087	0.4393201	3.306871	-0.06830428	0.5432373	3.247155	-0.06774658	0.2294086	3.241594	0.1705489	0.2249886	3.303782	0.1734513	0.02108385	3.183383	0.1906632	-0.04136318	3.183789	0.1177508	0.3512632	3.274954	0.1805978	0.09597905	3.216702	0.2233781	-0.1884525	3.157367	0.2077436	-0.2665807	3.147765	-0.03865018	-0.05348521	3.552882	-0.06944183	-0.3265741	3.867981	0.03889801	-0.6104861	4.082815	0.08716562	-0.6895058	3.989751	0.07004814	-0.003761325	3.533971	0.2473089	-0.4240199	3.729844	0.4173157	-0.7735969	3.941711	0.4567903	-0.836469	3.951674	-0.0007718201	0.3826239	3.345698	0.1727894	-0.1128956	3.142269	0.1472738	-0.01269741	3.163254	0.1992375	-0.3287565	3.141986	0.1728926	-0.2746825	3.13965
1	0.05496518	-0.04667717	3.572251	0.03521644	0.1980537	3.443937	0.01415441	0.4384101	3.302016	-0.04527775	0.5410348	3.23183	-0.05269461	0.2277347	3.23767	0.18131	0.2344823	3.327594	0.1686502	-0.01402145	3.205909	0.2171043	-0.05458947	3.219767	0.134327	0.3533031	3.270468	0.1948758	0.09833009	3.220835	0.2752978	-0.1726088	3.200123	0.284206	-0.2580902	3.203518	0.001455232	-0.07517457	3.546826	-0.06167672	-0.3235196	3.860431	0.04180469	-0.6020004	4.074612	0.09526553	-0.6782131	3.967263	0.110767	-0.02356773	3.530759	0.2756177	-0.4395806	3.751272	0.4022365	-0.7800456	3.979525	0.4638792	-0.8341498	3.979578	0.01736687	0.3802411	3.340236	0.2206533	-0.1090797	3.193072	0.198893	-0.09924802	3.203921	0.2928426	-0.3181648	3.211942	0.2530965	-0.2796644	3.197065
1	0.05496518	-0.04667717	3.572251	0.03521644	0.1980537	3.443937	0.01415441	0.4384101	3.302016	-0.04527775	0.5410348	3.23183	-0.05269461	0.2277347	3.23767	0.18131	0.2344823	3.327594	0.1686502	-0.01402145	3.205909	0.2171043	-0.05458947	3.219767	0.134327	0.3533031	3.270468	0.1948758	0.09833009	3.220835	0.2752978	-0.1726088	3.200123	0.284206	-0.2580902	3.203518	0.001455232	-0.07517457	3.546826	-0.06167672	-0.3235196	3.860431	0.04180469	-0.6020004	4.074612	0.09526553	-0.6782131	3.967263	0.110767	-0.02356773	3.530759	0.2756177	-0.4395806	3.751272	0.4022365	-0.7800456	3.979525	0.4638792	-0.8341498	3.979578	0.01736687	0.3802411	3.340236	0.2206533	-0.1090797	3.193072	0.198893	-0.09924802	3.203921	0.2928426	-0.3181648	3.211942	0.2530965	-0.2796644	3.197065
1	0.09387249	-0.06710688	3.560168	0.06820447	0.185311	3.430753	0.03382306	0.433167	3.293216	-0.02750588	0.5402883	3.221052	-0.05344268	0.2835518	3.386312	0.1821483	0.2539119	3.350789	0.1616004	-0.001369537	3.226361	0.2170047	0.002522241	3.241094	0.1547575	0.3503459	3.264003	0.2332315	0.1033966	3.2327	0.3404036	-0.167139	3.242227	0.3550443	-0.2502053	3.257543	0.03306776	-0.08596156	3.545531	-0.05339611	-0.3216413	3.853537	0.0446665	-0.599135	4.071126	-0.02102895	-0.644902	4.095866	0.1523979	-0.05330319	3.499392	0.283143	-0.4442519	3.759133	0.3909605	-0.7821601	3.99694	0.3428884	-0.849389	3.924235	0.0421503	0.3723907	3.3296	0.2336371	-0.04209971	3.231705	0.2005493	-0.01178685	3.235165	0.3711912	-0.3125145	3.277432	0.3263989	-0.2700006	3.242425
1	0.09387249	-0.06710688	3.560168	0.06820447	0.185311	3.430753	0.03382306	0.433167	3.293216	-0.02750588	0.5402883	3.221052	-0.05344268	0.2835518	3.386312	0.1821483	0.2539119	3.350789	0.1616004	-0.001369537	3.226361	0.2170047	0.002522241	3.241094	0.1547575	0.3503459	3.264003	0.2332315	0.1033966	3.2327	0.3404036	-0.167139	3.242227	0.3550443	-0.2502053	3.257543	0.03306776	-0.08596156	3.545531	-0.05339611	-0.3216413	3.853537	0.0446665	-0.599135	4.071126	-0.02102895	-0.644902	4.095866	0.1523979	-0.05330319	3.499392	0.283143	-0.4442519	3.759133	0.3909605	-0.7821601	3.99694	0.3428884	-0.849389	3.924235	0.0421503	0.3723907	3.3296	0.2336371	-0.04209971	3.231705	0.2005493	-0.01178685	3.235165	0.3711912	-0.3125145	3.277432	0.3263989	-0.2700006	3.242425
1	0.1288939	-0.08703543	3.54691	0.09480133	0.1760204	3.417892	0.059976	0.4303237	3.277529	-0.001896088	0.533381	3.208574	-0.04692037	0.2985325	3.435218	0.182115	0.2652256	3.363787	0.1583479	0.005017649	3.241314	0.2308269	0.01048078	3.274641	0.1840946	0.3357036	3.260134	0.2880349	0.08773887	3.260045	0.3979835	-0.1637972	3.293215	0.4114574	-0.2414702	3.312605	0.05738518	-0.09365685	3.545781	-0.04403023	-0.299086	3.820512	0.04267629	-0.5957673	4.064549	-0.03159846	-0.6332379	4.103261	0.1884084	-0.08008209	3.472018	0.2892212	-0.4457649	3.766166	0.3837993	-0.7838289	4.009599	0.4085102	-0.829554	3.989084	0.06844444	0.3675027	3.314919	0.2357577	0.003879368	3.260222	0.2117346	-0.03905254	3.288042	0.4268411	-0.2964884	3.331729	0.3746379	-0.2518277	3.293593
1	0.1288939	-0.08703543	3.54691	0.09480133	0.1760204	3.417892	0.059976	0.4303237	3.277529	-0.001896088	0.533381	3.208574	-0.04692037	0.2985325	3.435218	0.182115	0.2652256	3.363787	0.1583479	0.005017649	3.241314	0.2308269	0.01048078	3.274641	0.1840946	0.3357036	3.260134	0.2880349	0.08773887	3.260045	0.3979835	-0.1637972	3.293215	0.4114574	-0.2414702	3.312605	0.05738518	-0.09365685	3.545781	-0.04403023	-0.299086	3.820512	0.04267629	-0.5957673	4.064549	-0.03159846	-0.6332379	4.103261	0.1884084	-0.08008209	3.472018	0.2892212	-0.4457649	3.766166	0.3837993	-0.7838289	4.009599	0.4085102	-0.829554	3.989084	0.06844444	0.3675027	3.314919	0.2357577	0.003879368	3.260222	0.2117346	-0.03905254	3.288042	0.4268411	-0.2964884	3.331729	0.3746379	-0.2518277	3.293593
1	0.1410831	-0.09422085	3.54332	0.1079162	0.17029	3.413563	0.08613609	0.4208461	3.272366	0.02214624	0.5252575	3.201114	-0.04627443	0.326597	3.488509	0.1829807	0.2717554	3.372192	0.2817437	0.01632557	3.309981	0.3413206	-0.04379555	3.321245	0.2162831	0.31973	3.264413	0.3440103	0.07253869	3.297608	0.4499981	-0.1611867	3.339528	0.4511938	-0.2266718	3.354591	0.06806	-0.09733343	3.54558	-0.04012449	-0.2907616	3.806849	-0.01045252	-0.5634616	4.053044	0.001219648	-0.6087997	4.113027	0.2004261	-0.09357337	3.466512	0.2892824	-0.4442528	3.768772	0.3791881	-0.7845751	4.016398	0.4088313	-0.8363366	3.992323	0.08979883	0.3593533	3.309999	0.3823527	-0.0978678	3.318899	0.3313384	-0.09503455	3.310261	0.4692131	-0.2897305	3.382282	0.4207265	-0.2314961	3.336349
1	0.1410831	-0.09422085	3.54332	0.1079162	0.17029	3.413563	0.08613609	0.4208461	3.272366	0.02214624	0.5252575	3.201114	-0.04627443	0.326597	3.488509	0.1829807	0.2717554	3.372192	0.2817437	0.01632557	3.309981	0.3413206	-0.04379555	3.321245	0.2162831	0.31973	3.264413	0.3440103	0.07253869	3.297608	0.4499981	-0.1611867	3.339528	0.4511938	-0.2266718	3.354591	0.06806	-0.09733343	3.54558	-0.04012449	-0.2907616	3.806849	-0.01045252	-0.5634616	4.053044	0.001219648	-0.6087997	4.113027	0.2004261	-0.09357337	3.466512	0.2892824	-0.4442528	3.768772	0.3791881	-0.7845751	4.016398	0.4088313	-0.8363366	3.992323	0.08979883	0.3593533	3.309999	0.3823527	-0.0978678	3.318899	0.3313384	-0.09503455	3.310261	0.4692131	-0.2897305	3.382282	0.4207265	-0.2314961	3.336349
