p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
16	0.5398887	-1.168	3.511571	0.5214938	-0.9156257	3.450392	0.5136053	-0.6689828	3.372273	0.5099298	-0.5569576	3.327426	0.3373362	-0.6975378	3.415721	0.1721715	-0.8485458	3.353461	0.1717719	-0.8556955	3.078013	0.1390795	-0.8267281	3.054037	0.7126922	-0.6854228	3.3809	0.8915259	-0.8501337	3.381724	1.012379	-0.7870082	3.161513	1.042493	-0.763729	3.104648	0.4580219	-1.15953	3.485829	0.4541805	-1.468719	3.537535	0.5062518	-1.828305	3.756433	0.478412	-1.904329	3.67345	0.611939	-1.156462	3.475038	0.6543595	-1.465842	3.486374	0.6493338	-1.816592	3.713277	0.67345	-1.871673	3.620631	0.5141453	-0.7322213	3.393182	0.1148651	-0.7870879	3.004585	0.196341	-0.818518	3.038387	1.075346	-0.7227108	3.047699	1.084912	-0.767646	3.071339
16	0.734127	-1.125802	3.643862	0.7541857	-0.8547068	3.58538	0.7739689	-0.5844465	3.514572	0.7761056	-0.4568923	3.48646	0.5921115	-0.6409722	3.568152	0.4236842	-0.7947805	3.556228	0.5023606	-0.7742103	3.322327	0.5125749	-0.759446	3.329036	0.9377367	-0.6695653	3.488736	1.078064	-0.8998466	3.45208	1.216321	-1.041886	3.348015	1.269461	-1.090505	3.279527	0.6515447	-1.107629	3.630733	0.6094227	-1.411281	3.792502	0.5791512	-1.769965	3.90908	0.5500982	-1.847503	3.84783	0.8047085	-1.12503	3.595476	0.8591149	-1.424832	3.643267	0.8861084	-1.802691	3.840734	0.8708153	-1.860059	3.736851	0.7693008	-0.6519859	3.534527	0.5068902	-0.7579875	3.300027	0.4991042	-0.7384248	3.303004	1.295135	-1.115787	3.242999	1.255105	-1.120618	3.277913
16	0.734127	-1.125802	3.643862	0.7541857	-0.8547068	3.58538	0.7739689	-0.5844465	3.514572	0.7761056	-0.4568923	3.48646	0.5921115	-0.6409722	3.568152	0.4236842	-0.7947805	3.556228	0.5023606	-0.7742103	3.322327	0.5125749	-0.759446	3.329036	0.9377367	-0.6695653	3.488736	1.078064	-0.8998466	3.45208	1.216321	-1.041886	3.348015	1.269461	-1.090505	3.279527	0.6515447	-1.107629	3.630733	0.6094227	-1.411281	3.792502	0.5791512	-1.769965	3.90908	0.5500982	-1.847503	3.84783	0.8047085	-1.12503	3.595476	0.8591149	-1.424832	3.643267	0.8861084	-1.802691	3.840734	0.8708153	-1.860059	3.736851	0.7693008	-0.6519859	3.534527	0.5068902	-0.7579875	3.300027	0.4991042	-0.7384248	3.303004	1.295135	-1.115787	3.242999	1.255105	-1.120618	3.277913
16	0.7511604	-1.126799	3.643669	0.7693502	-0.8559282	3.582702	0.7877012	-0.5858021	3.510037	0.7941619	-0.4589204	3.480106	0.6049985	-0.6431705	3.562367	0.4273622	-0.7908208	3.555166	0.4979	-0.8273872	3.311527	0.4877422	-0.803151	3.296641	0.9570801	-0.6707782	3.486207	1.106085	-0.8915311	3.4549	1.251117	-1.020796	3.34277	1.30017	-1.067895	3.262843	0.6671509	-1.109539	3.630093	0.6164943	-1.413267	3.786446	0.5812747	-1.768515	3.910753	0.5506334	-1.845382	3.844912	0.8227845	-1.124874	3.595758	0.8650843	-1.422743	3.642411	0.8864946	-1.800713	3.839359	0.8614576	-1.848897	3.718215	0.7833334	-0.6533157	3.530413	0.4758503	-0.8101617	3.266927	0.4985188	-0.7808886	3.279447	1.328717	-1.087367	3.2267	1.282974	-1.096892	3.258806
16	0.7511604	-1.126799	3.643669	0.7693502	-0.8559282	3.582702	0.7877012	-0.5858021	3.510037	0.7941619	-0.4589204	3.480106	0.6049985	-0.6431705	3.562367	0.4273622	-0.7908208	3.555166	0.4979	-0.8273872	3.311527	0.4877422	-0.803151	3.296641	0.9570801	-0.6707782	3.486207	1.106085	-0.8915311	3.4549	1.251117	-1.020796	3.34277	1.30017	-1.067895	3.262843	0.6671509	-1.109539	3.630093	0.6164943	-1.413267	3.786446	0.5812747	-1.768515	3.910753	0.5506334	-1.845382	3.844912	0.8227845	-1.124874	3.595758	0.8650843	-1.422743	3.642411	0.8864946	-1.800713	3.839359	0.8614576	-1.848897	3.718215	0.7833334	-0.6533157	3.530413	0.4758503	-0.8101617	3.266927	0.4985188	-0.7808886	3.279447	1.328717	-1.087367	3.2267	1.282974	-1.096892	3.258806
16	0.7635239	-1.127229	3.643685	0.7842096	-0.8567889	3.580023	0.8050939	-0.5873165	3.503863	0.8122344	-0.4600136	3.474472	0.6186953	-0.6439817	3.555851	0.4593847	-0.8004528	3.543468	0.48356	-0.8710225	3.303912	0.4549514	-0.8528246	3.270914	0.9750847	-0.6733081	3.48441	1.127458	-0.887824	3.457718	1.268408	-1.012571	3.337413	1.322409	-1.038171	3.251427	0.6793374	-1.110211	3.629513	0.6266456	-1.409732	3.756031	0.5832028	-1.767468	3.91091	0.552214	-1.844884	3.848615	0.8351448	-1.124959	3.596327	0.8736849	-1.420182	3.645489	0.8868294	-1.800175	3.839203	0.8750264	-1.867658	3.77055	0.8001709	-0.6546469	3.525162	0.4442499	-0.8649805	3.243734	0.4904705	-0.8497702	3.26912	1.357228	-1.052027	3.217252	1.301858	-1.065067	3.239504
16	0.7635239	-1.127229	3.643685	0.7842096	-0.8567889	3.580023	0.8050939	-0.5873165	3.503863	0.8122344	-0.4600136	3.474472	0.6186953	-0.6439817	3.555851	0.4593847	-0.8004528	3.543468	0.48356	-0.8710225	3.303912	0.4549514	-0.8528246	3.270914	0.9750847	-0.6733081	3.48441	1.127458	-0.887824	3.457718	1.268408	-1.012571	3.337413	1.322409	-1.038171	3.251427	0.6793374	-1.110211	3.629513	0.6266456	-1.409732	3.756031	0.5832028	-1.767468	3.91091	0.552214	-1.844884	3.848615	0.8351448	-1.124959	3.596327	0.8736849	-1.420182	3.645489	0.8868294	-1.800175	3.839203	0.8750264	-1.867658	3.77055	0.8001709	-0.6546469	3.525162	0.4442499	-0.8649805	3.243734	0.4904705	-0.8497702	3.26912	1.357228	-1.052027	3.217252	1.301858	-1.065067	3.239504
16	0.7743353	-1.127011	3.643587	0.7981654	-0.8566464	3.577191	0.8211536	-0.5873874	3.497838	0.8256861	-0.4599256	3.469531	0.627953	-0.6447721	3.551193	0.481583	-0.8095965	3.536137	0.4341958	-0.9187241	3.320021	0.4211706	-0.9035729	3.269931	0.990059	-0.6728054	3.483728	1.139879	-0.885056	3.459551	1.281476	-1.002768	3.331175	1.340309	-1.003835	3.243961	0.6896711	-1.11039	3.628813	0.6327276	-1.414816	3.733019	0.5892655	-1.767563	3.902601	0.5523762	-1.842354	3.844038	0.846127	-1.124307	3.596854	0.8845955	-1.416489	3.651939	0.8875874	-1.798921	3.839329	0.8848478	-1.871027	3.796717	0.8158476	-0.6546528	3.519931	0.4123595	-0.9217062	3.236834	0.4718364	-0.9061921	3.272786	1.379452	-1.010751	3.207382	1.319101	-1.033362	3.227701
16	0.7743353	-1.127011	3.643587	0.7981654	-0.8566464	3.577191	0.8211536	-0.5873874	3.497838	0.8256861	-0.4599256	3.469531	0.627953	-0.6447721	3.551193	0.481583	-0.8095965	3.536137	0.4341958	-0.9187241	3.320021	0.4211706	-0.9035729	3.269931	0.990059	-0.6728054	3.483728	1.139879	-0.885056	3.459551	1.281476	-1.002768	3.331175	1.340309	-1.003835	3.243961	0.6896711	-1.11039	3.628813	0.6327276	-1.414816	3.733019	0.5892655	-1.767563	3.902601	0.5523762	-1.842354	3.844038	0.846127	-1.124307	3.596854	0.8845955	-1.416489	3.651939	0.8875874	-1.798921	3.839329	0.8848478	-1.871027	3.796717	0.8158476	-0.6546528	3.519931	0.4123595	-0.9217062	3.236834	0.4718364	-0.9061921	3.272786	1.379452	-1.010751	3.207382	1.319101	-1.033362	3.227701
16	0.7849026	-1.127418	3.643476	0.8074139	-0.8564777	3.575546	0.8296262	-0.5871642	3.494871	0.8402375	-0.4599997	3.464328	0.634905	-0.6450155	3.54763	0.5059611	-0.8221133	3.535486	0.401524	-0.9598958	3.35218	0.3889349	-0.9567877	3.280257	1.002001	-0.6739933	3.484151	1.15048	-0.8819731	3.462487	1.299609	-0.9649444	3.313132	1.348685	-0.9610245	3.240726	0.7000799	-1.11115	3.627874	0.6379682	-1.433828	3.706028	0.5962556	-1.769784	3.894331	0.5647982	-1.846833	3.843861	0.8566128	-1.124379	3.597569	0.8976995	-1.418144	3.666166	0.8883184	-1.797703	3.839835	0.8873494	-1.871582	3.801474	0.8244636	-0.6544201	3.517277	0.3792319	-0.9794382	3.248536	0.4462619	-0.9653049	3.280094	1.393485	-0.9610037	3.193588	1.330162	-1.000656	3.226647
