p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
41	0.6676322	-0.811861	3.809226	0.6826559	-0.5344436	3.690563	0.6823251	-0.2557431	3.559031	0.7360221	-0.1624816	3.546535	0.6065727	-0.3696491	3.47657	0.439445	-0.5218325	3.356596	0.3353831	-0.6703131	3.237404	0.2615735	-0.6998748	3.189549	0.8212126	-0.3348456	3.636998	0.5908203	-0.4805387	3.395794	0.6353133	-0.6651458	3.506506	0.6427776	-0.6919736	3.563809	0.6120084	-0.8082058	3.75219	0.5528827	-1.1	3.806103	0.506727	-1.474009	4.045054	0.524704	-1.530858	4.005616	0.7113471	-0.8001442	3.802571	0.7444766	-1.14069	3.971867	0.7749562	-1.474872	4.088973	0.8092992	-1.533253	4.035977	0.6852365	-0.3245059	3.594269	0.2144243	-0.7364534	3.158623	0.2733601	-0.7044919	3.149919	0.6762012	-0.7474527	3.63982	0.6183868	-0.7069257	3.573081
41	0.6965654	-0.8783721	3.696511	0.6990137	-0.6162284	3.595646	0.7026287	-0.3509763	3.48482	0.6749974	-0.2384036	3.442917	0.5831829	-0.3796291	3.618271	0.5346747	-0.5309043	3.809048	0.4631496	-0.6633508	3.974411	0.4452633	-0.6783275	4.012399	0.7864831	-0.4447176	3.405475	0.8472346	-0.6453189	3.354912	0.8485281	-0.8258008	3.206634	0.845314	-0.881915	3.127832	0.6478018	-0.8601803	3.700063	0.5352524	-1.138993	3.754615	0.6172491	-1.489848	3.977308	0.5830613	-1.556525	3.944226	0.7353557	-0.8784233	3.629505	0.7591439	-1.18222	3.70869	0.7955555	-1.525633	3.934193	0.7481287	-1.589087	3.910196	0.701937	-0.4173791	3.51475	0.4449404	-0.6988976	4.045769	0.4593843	-0.6798254	4.009997	0.8350074	-0.9150624	3.087755	0.8181874	-0.8769661	3.106395
41	0.6978799	-0.8614035	3.694133	0.7007161	-0.6067211	3.591588	0.7036988	-0.3466421	3.479551	0.6795709	-0.2331313	3.436609	0.579767	-0.3704894	3.61426	0.5140083	-0.5045235	3.823142	0.4294086	-0.6289377	3.95169	0.4033105	-0.6484768	3.987182	0.7932242	-0.4394239	3.402384	0.8531325	-0.6385053	3.352708	0.8619072	-0.8145886	3.20591	0.8667678	-0.8698286	3.133255	0.6479946	-0.8441297	3.697316	0.5521178	-1.137645	3.754358	0.6204863	-1.491945	3.970246	0.593831	-1.559335	3.933957	0.7374809	-0.8619988	3.627724	0.7731196	-1.165677	3.714628	0.7958441	-1.523216	3.935294	0.747809	-1.587643	3.911307	0.7032059	-0.4120589	3.509832	0.389553	-0.6891136	4.036405	0.4195505	-0.6660571	3.984552	0.8607042	-0.9047443	3.092729	0.8398222	-0.8642445	3.114443
41	0.6978799	-0.8614035	3.694133	0.7007161	-0.6067211	3.591588	0.7036988	-0.3466421	3.479551	0.6795709	-0.2331313	3.436609	0.579767	-0.3704894	3.61426	0.5140083	-0.5045235	3.823142	0.4294086	-0.6289377	3.95169	0.4033105	-0.6484768	3.987182	0.7932242	-0.4394239	3.402384	0.8531325	-0.6385053	3.352708	0.8619072	-0.8145886	3.20591	0.8667678	-0.8698286	3.133255	0.6479946	-0.8441297	3.697316	0.5521178	-1.137645	3.754358	0.6204863	-1.491945	3.970246	0.593831	-1.559335	3.933957	0.7374809	-0.8619988	3.627724	0.7731196	-1.165677	3.714628	0.7958441	-1.523216	3.935294	0.747809	-1.587643	3.911307	0.7032059	-0.4120589	3.509832	0.389553	-0.6891136	4.036405	0.4195505	-0.6660571	3.984552	0.8607042	-0.9047443	3.092729	0.8398222	-0.8642445	3.114443
41	0.6986076	-0.8487453	3.690467	0.7016025	-0.5983028	3.587823	0.7040316	-0.3425641	3.475384	0.6827078	-0.2291097	3.431422	0.5654761	-0.3550957	3.592369	0.4865952	-0.495986	3.793893	0.3930169	-0.6212796	3.915823	0.364824	-0.6442336	3.949676	0.799996	-0.4340821	3.399731	0.8569776	-0.6343896	3.351452	0.8741333	-0.8071563	3.208492	0.8867415	-0.8621699	3.142601	0.6470531	-0.8325861	3.693282	0.5690833	-1.136411	3.756332	0.6226745	-1.493172	3.965699	0.5997909	-1.56081	3.927934	0.7397118	-0.848669	3.624477	0.781929	-1.156394	3.719278	0.7962348	-1.52126	3.93584	0.7475768	-1.586245	3.912607	0.7037014	-0.4070132	3.505775	0.346532	-0.682142	4.00073	0.3822535	-0.6744223	3.951097	0.8867642	-0.8982242	3.103163	0.8569956	-0.8586382	3.118086
41	0.6986076	-0.8487453	3.690467	0.7016025	-0.5983028	3.587823	0.7040316	-0.3425641	3.475384	0.6827078	-0.2291097	3.431422	0.5654761	-0.3550957	3.592369	0.4865952	-0.495986	3.793893	0.3930169	-0.6212796	3.915823	0.364824	-0.6442336	3.949676	0.799996	-0.4340821	3.399731	0.8569776	-0.6343896	3.351452	0.8741333	-0.8071563	3.208492	0.8867415	-0.8621699	3.142601	0.6470531	-0.8325861	3.693282	0.5690833	-1.136411	3.756332	0.6226745	-1.493172	3.965699	0.5997909	-1.56081	3.927934	0.7397118	-0.848669	3.624477	0.781929	-1.156394	3.719278	0.7962348	-1.52126	3.93584	0.7475768	-1.586245	3.912607	0.7037014	-0.4070132	3.505775	0.346532	-0.682142	4.00073	0.3822535	-0.6744223	3.951097	0.8867642	-0.8982242	3.103163	0.8569956	-0.8586382	3.118086
41	0.6989455	-0.8418447	3.688371	0.7019797	-0.5928829	3.585495	0.7039855	-0.3394091	3.472623	0.6848447	-0.22643	3.427783	0.5608303	-0.349716	3.585978	0.454841	-0.4968318	3.774148	0.3685338	-0.6220977	3.888928	0.3224081	-0.6605662	3.930535	0.8043928	-0.4304752	3.398132	0.8606212	-0.6320481	3.351541	0.8907488	-0.8030929	3.220157	0.9110577	-0.8617724	3.165382	0.6464555	-0.8262048	3.690738	0.5821648	-1.137845	3.75954	0.6243143	-1.494045	3.962653	0.6038824	-1.561932	3.924317	0.7408357	-0.8414755	3.622741	0.7871261	-1.151155	3.72208	0.796524	-1.519916	3.93625	0.7473602	-1.585122	3.913997	0.7037805	-0.4032573	3.5031	0.2923208	-0.6982898	3.963955	0.3392042	-0.6863841	3.933273	0.9162214	-0.9003535	3.125191	0.8821056	-0.8680732	3.131164
41	0.6989455	-0.8418447	3.688371	0.7019797	-0.5928829	3.585495	0.7039855	-0.3394091	3.472623	0.6848447	-0.22643	3.427783	0.5608303	-0.349716	3.585978	0.454841	-0.4968318	3.774148	0.3685338	-0.6220977	3.888928	0.3224081	-0.6605662	3.930535	0.8043928	-0.4304752	3.398132	0.8606212	-0.6320481	3.351541	0.8907488	-0.8030929	3.220157	0.9110577	-0.8617724	3.165382	0.6464555	-0.8262048	3.690738	0.5821648	-1.137845	3.75954	0.6243143	-1.494045	3.962653	0.6038824	-1.561932	3.924317	0.7408357	-0.8414755	3.622741	0.7871261	-1.151155	3.72208	0.796524	-1.519916	3.93625	0.7473602	-1.585122	3.913997	0.7037805	-0.4032573	3.5031	0.2923208	-0.6982898	3.963955	0.3392042	-0.6863841	3.933273	0.9162214	-0.9003535	3.125191	0.8821056	-0.8680732	3.131164
41	0.6985039	-0.8370121	3.686277	0.7020828	-0.5892124	3.583882	0.7039115	-0.3371243	3.470796	0.6864606	-0.2247765	3.425023	0.5560587	-0.3464886	3.580197	0.4324557	-0.5059823	3.747619	0.3264078	-0.6355296	3.847545	0.2794511	-0.6819955	3.888284	0.8123587	-0.4267207	3.399987	0.8644331	-0.6299067	3.354817	0.9061044	-0.8070471	3.235904	0.9279304	-0.8699002	3.186978	0.6437574	-0.821151	3.686838	0.5895691	-1.139022	3.761247	0.6256407	-1.494491	3.960948	0.6063725	-1.562709	3.923099	0.7414163	-0.836904	3.621501	0.7903745	-1.147815	3.723691	0.7968616	-1.518809	3.936556	0.7472461	-1.584606	3.914416	0.7037434	-0.4005747	3.501308	0.2479505	-0.7172354	3.910281	0.2929533	-0.7091126	3.897318	0.9388555	-0.9134325	3.153094	0.9036565	-0.8836414	3.159662
41	0.6985039	-0.8370121	3.686277	0.7020828	-0.5892124	3.583882	0.7039115	-0.3371243	3.470796	0.6864606	-0.2247765	3.425023	0.5560587	-0.3464886	3.580197	0.4324557	-0.5059823	3.747619	0.3264078	-0.6355296	3.847545	0.2794511	-0.6819955	3.888284	0.8123587	-0.4267207	3.399987	0.8644331	-0.6299067	3.354817	0.9061044	-0.8070471	3.235904	0.9279304	-0.8699002	3.186978	0.6437574	-0.821151	3.686838	0.5895691	-1.139022	3.761247	0.6256407	-1.494491	3.960948	0.6063725	-1.562709	3.923099	0.7414163	-0.836904	3.621501	0.7903745	-1.147815	3.723691	0.7968616	-1.518809	3.936556	0.7472461	-1.584606	3.914416	0.7037434	-0.4005747	3.501308	0.2479505	-0.7172354	3.910281	0.2929533	-0.7091126	3.897318	0.9388555	-0.9134325	3.153094	0.9036565	-0.8836414	3.159662
