p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0.01309357	-1.168206	2.986952	0.007237499	-0.8829468	2.950103	0.00291958	-0.5985336	2.899952	-0.0094791	-0.4858078	2.916711	-0.07174215	-0.6962234	3.045995	-0.07972069	-0.8642914	3.115633	0.03281967	-0.9530092	2.991494	0.0687781	-0.9817464	2.95819	0.0461689	-0.7113551	2.796408	0.1158429	-0.8907998	2.717051	-0.07629365	-0.85833	2.629128	-0.1244414	-0.8614476	2.628219	-0.01937369	-1.151187	3.002944	-0.0005717231	-1.381664	2.873588	-0.04645557	-1.700824	2.952907	-0.1400505	-1.721713	2.892156	0.04488948	-1.16123	2.908416	-0.06201427	-1.462662	2.946802	0.07804326	-1.743483	3.003178	-0.01898468	-1.79687	2.946134	0.003840616	-0.6695597	2.914923	0.05597224	-0.9749646	2.962365	-0.02247297	-0.9485725	2.932601	-0.1836565	-0.8590629	2.62727	-0.1377891	-0.8207984	2.644584
12	0.008314271	-1.170235	2.971762	0.001933736	-0.8861041	2.937223	-0.003313222	-0.6025993	2.889712	-0.01357247	-0.4896299	2.907992	-0.07899072	-0.69833	3.036979	-0.08733486	-0.8664053	3.106967	0.02524643	-0.9552624	2.982704	0.06129348	-0.9839171	2.952439	0.0356437	-0.7154374	2.781804	0.1074951	-0.8929722	2.705275	-0.09108972	-0.8640891	2.62976	-0.148145	-0.8824365	2.630056	-0.02330263	-1.152762	2.986727	0.02806428	-1.379833	2.849638	-0.01096732	-1.663679	2.957158	-0.01334649	-1.707948	2.940538	0.03970284	-1.163417	2.89441	-0.05239137	-1.474468	2.939747	0.06589038	-1.773605	3.008472	-0.02846522	-1.812987	2.946936	-0.002151058	-0.6734275	2.903968	0.05069477	-0.978879	2.953375	-0.02510732	-0.9524568	2.927402	-0.2168359	-0.8991469	2.633037	-0.1644511	-0.8481506	2.637125
12	0.008314271	-1.170235	2.971762	0.001933736	-0.8861041	2.937223	-0.003313222	-0.6025993	2.889712	-0.01357247	-0.4896299	2.907992	-0.07899072	-0.69833	3.036979	-0.08733486	-0.8664053	3.106967	0.02524643	-0.9552624	2.982704	0.06129348	-0.9839171	2.952439	0.0356437	-0.7154374	2.781804	0.1074951	-0.8929722	2.705275	-0.09108972	-0.8640891	2.62976	-0.148145	-0.8824365	2.630056	-0.02330263	-1.152762	2.986727	0.02806428	-1.379833	2.849638	-0.01096732	-1.663679	2.957158	-0.01334649	-1.707948	2.940538	0.03970284	-1.163417	2.89441	-0.05239137	-1.474468	2.939747	0.06589038	-1.773605	3.008472	-0.02846522	-1.812987	2.946936	-0.002151058	-0.6734275	2.903968	0.05069477	-0.978879	2.953375	-0.02510732	-0.9524568	2.927402	-0.2168359	-0.8991469	2.633037	-0.1644511	-0.8481506	2.637125
12	0.003440223	-1.173561	2.955522	-0.002710294	-0.8901737	2.923313	-0.008218515	-0.6072816	2.878409	-0.01719072	-0.4948357	2.897303	-0.08530011	-0.7012376	3.02686	-0.09393299	-0.8693293	3.097023	0.01869707	-0.9582762	2.97267	0.0543558	-0.9877371	2.943177	0.02692039	-0.7188272	2.768717	0.09777203	-0.8968355	2.692805	-0.1115484	-0.8762385	2.629877	-0.1682159	-0.8977098	2.629509	-0.02718136	-1.156575	2.968301	0.03994869	-1.381603	2.840718	0.004104694	-1.743536	2.987635	-0.05553102	-1.761187	2.965686	0.03428113	-1.166096	2.880302	-0.01317107	-1.473015	2.916406	0.05875354	-1.797047	3.015049	-0.03359128	-1.829342	2.95221	-0.006961801	-0.6779881	2.891958	0.04693441	-0.9844407	2.940862	-0.02715399	-0.9581781	2.917839	-0.2471707	-0.9277008	2.631887	-0.19244	-0.8710064	2.630724
12	0.003440223	-1.173561	2.955522	-0.002710294	-0.8901737	2.923313	-0.008218515	-0.6072816	2.878409	-0.01719072	-0.4948357	2.897303	-0.08530011	-0.7012376	3.02686	-0.09393299	-0.8693293	3.097023	0.01869707	-0.9582762	2.97267	0.0543558	-0.9877371	2.943177	0.02692039	-0.7188272	2.768717	0.09777203	-0.8968355	2.692805	-0.1115484	-0.8762385	2.629877	-0.1682159	-0.8977098	2.629509	-0.02718136	-1.156575	2.968301	0.03994869	-1.381603	2.840718	0.004104694	-1.743536	2.987635	-0.05553102	-1.761187	2.965686	0.03428113	-1.166096	2.880302	-0.01317107	-1.473015	2.916406	0.05875354	-1.797047	3.015049	-0.03359128	-1.829342	2.95221	-0.006961801	-0.6779881	2.891958	0.04693441	-0.9844407	2.940862	-0.02715399	-0.9581781	2.917839	-0.2471707	-0.9277008	2.631887	-0.19244	-0.8710064	2.630724
12	-0.002106961	-1.183893	2.930124	-0.007862214	-0.8975599	2.903363	-0.01337549	-0.6129068	2.862959	-0.02066046	-0.5011737	2.882743	-0.09178742	-0.7052055	3.0134	-0.1006379	-0.8733159	3.083583	0.01205217	-0.9623033	2.959178	0.04716906	-0.9931701	2.928687	0.01783759	-0.7234086	2.751837	0.08684107	-0.9017554	2.679418	-0.130195	-0.8855394	2.624241	-0.1910162	-0.9039622	2.621296	-0.03136145	-1.168638	2.942852	0.05307376	-1.388636	2.831293	0.01591844	-1.797624	3.005314	-0.06518553	-1.782467	2.983124	0.02755512	-1.174202	2.855296	0.00721803	-1.468226	2.901557	0.05216577	-1.816006	3.01232	-0.03809525	-1.843676	2.95038	-0.01208219	-0.6839874	2.875426	0.04349383	-0.9911844	2.923934	-0.02970143	-0.965291	2.902696	-0.272625	-0.9318016	2.623889	-0.2179227	-0.8786008	2.617716
12	-0.002106961	-1.183893	2.930124	-0.007862214	-0.8975599	2.903363	-0.01337549	-0.6129068	2.862959	-0.02066046	-0.5011737	2.882743	-0.09178742	-0.7052055	3.0134	-0.1006379	-0.8733159	3.083583	0.01205217	-0.9623033	2.959178	0.04716906	-0.9931701	2.928687	0.01783759	-0.7234086	2.751837	0.08684107	-0.9017554	2.679418	-0.130195	-0.8855394	2.624241	-0.1910162	-0.9039622	2.621296	-0.03136145	-1.168638	2.942852	0.05307376	-1.388636	2.831293	0.01591844	-1.797624	3.005314	-0.06518553	-1.782467	2.983124	0.02755512	-1.174202	2.855296	0.00721803	-1.468226	2.901557	0.05216577	-1.816006	3.01232	-0.03809525	-1.843676	2.95038	-0.01208219	-0.6839874	2.875426	0.04349383	-0.9911844	2.923934	-0.02970143	-0.965291	2.902696	-0.272625	-0.9318016	2.623889	-0.2179227	-0.8786008	2.617716
12	-0.005199685	-1.188591	2.914175	-0.01110607	-0.9025309	2.887617	-0.01697869	-0.6183792	2.847582	-0.02383835	-0.5077162	2.868499	-0.09698622	-0.7097133	2.999024	-0.1059629	-0.8778347	3.069141	0.006780419	-0.9668217	2.944722	0.04156316	-0.9990841	2.912655	0.01182592	-0.7269225	2.738679	0.04923699	-0.9151657	2.653432	-0.1446285	-0.8889691	2.617323	-0.2093499	-0.8955202	2.605715	-0.03356973	-1.174566	2.925213	0.06221705	-1.392224	2.823122	0.02290705	-1.816478	3.010541	-0.06904038	-1.792052	2.989822	0.02376688	-1.17759	2.840835	0.01478141	-1.467202	2.893613	0.05031444	-1.825205	3.010414	-0.03860535	-1.851553	2.94878	-0.0155667	-0.6893236	2.859918	0.04115138	-0.9978673	2.906564	-0.03181834	-0.9723998	2.885913	-0.2841411	-0.8968641	2.596135	-0.2270705	-0.8673408	2.615406
12	-0.005199685	-1.188591	2.914175	-0.01110607	-0.9025309	2.887617	-0.01697869	-0.6183792	2.847582	-0.02383835	-0.5077162	2.868499	-0.09698622	-0.7097133	2.999024	-0.1059629	-0.8778347	3.069141	0.006780419	-0.9668217	2.944722	0.04156316	-0.9990841	2.912655	0.01182592	-0.7269225	2.738679	0.04923699	-0.9151657	2.653432	-0.1446285	-0.8889691	2.617323	-0.2093499	-0.8955202	2.605715	-0.03356973	-1.174566	2.925213	0.06221705	-1.392224	2.823122	0.02290705	-1.816478	3.010541	-0.06904038	-1.792052	2.989822	0.02376688	-1.17759	2.840835	0.01478141	-1.467202	2.893613	0.05031444	-1.825205	3.010414	-0.03860535	-1.851553	2.94878	-0.0155667	-0.6893236	2.859918	0.04115138	-0.9978673	2.906564	-0.03181834	-0.9723998	2.885913	-0.2841411	-0.8968641	2.596135	-0.2270705	-0.8673408	2.615406
