p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
8	-0.2157166	-1.325714	3.148953	-0.2067981	-1.028939	3.067285	-0.1940738	-0.732205	2.972304	-0.1089374	-0.6408688	2.963045	-0.2769492	-0.8356289	2.909375	-0.2604257	-1.09078	2.875221	-0.1010802	-1.263729	2.906067	-0.01454188	-1.288595	2.915195	-0.1328949	-0.8712796	3.122907	-0.12125	-1.074378	3.252836	-0.08196679	-1.264251	3.385096	-0.07537633	-1.283729	3.405335	-0.2533703	-1.319485	3.085474	-0.1210437	-1.612923	3.126324	-0.2580777	-1.839861	3.408654	-0.2137181	-1.891083	3.344056	-0.1732316	-1.306967	3.15167	-0.3006328	-1.631993	3.347982	-0.1037311	-1.802649	3.114334	-0.0291062	-1.855574	3.044519	-0.1974789	-0.8066292	2.998403	0.03459292	-1.349372	2.932301	-0.0007082429	-1.247108	2.937097	-0.06661572	-1.322731	3.431046	-0.0872407	-1.288406	3.385017
8	-0.1578066	-1.372707	3.141013	-0.1691267	-1.106734	3.032592	-0.1804419	-0.8453166	2.916499	-0.1422774	-0.7494025	2.876996	-0.3121211	-0.8946447	2.901673	-0.4073914	-1.076758	2.922749	-0.2435965	-1.194863	2.827336	-0.1734075	-1.216549	2.778482	-0.0002751527	-0.9125405	3.014978	0.06733155	-1.126042	3.022977	0.1566456	-1.29645	2.966392	0.2023107	-1.363933	2.936703	-0.2227016	-1.356807	3.091577	-0.2747554	-1.696066	3.01706	-0.1770658	-1.557359	3.228899	-0.2191265	-1.636241	3.127326	-0.09022535	-1.36429	3.130001	0.008502221	-1.619763	3.157303	0.0397052	-1.972492	3.427932	0.06984484	-2.040877	3.31942	-0.1785435	-0.9106523	2.947054	-0.1213085	-1.259769	2.742872	-0.136138	-1.198087	2.823971	0.2601193	-1.4127	2.908979	0.1619926	-1.379262	2.912735
8	-0.1578066	-1.372707	3.141013	-0.1691267	-1.106734	3.032592	-0.1804419	-0.8453166	2.916499	-0.1422774	-0.7494025	2.876996	-0.3121211	-0.8946447	2.901673	-0.4073914	-1.076758	2.922749	-0.2435965	-1.194863	2.827336	-0.1734075	-1.216549	2.778482	-0.0002751527	-0.9125405	3.014978	0.06733155	-1.126042	3.022977	0.1566456	-1.29645	2.966392	0.2023107	-1.363933	2.936703	-0.2227016	-1.356807	3.091577	-0.2747554	-1.696066	3.01706	-0.1770658	-1.557359	3.228899	-0.2191265	-1.636241	3.127326	-0.09022535	-1.36429	3.130001	0.008502221	-1.619763	3.157303	0.0397052	-1.972492	3.427932	0.06984484	-2.040877	3.31942	-0.1785435	-0.9106523	2.947054	-0.1213085	-1.259769	2.742872	-0.136138	-1.198087	2.823971	0.2601193	-1.4127	2.908979	0.1619926	-1.379262	2.912735
8	-0.156708	-1.387483	3.148949	-0.1643673	-1.117629	3.041816	-0.1727158	-0.8523116	2.925468	-0.1308876	-0.7576125	2.888829	-0.2993715	-0.9068618	2.912475	-0.3742758	-1.096775	2.907146	-0.225313	-1.197093	2.81931	-0.1413388	-1.206845	2.768811	0.01314686	-0.9330281	3.03878	0.08011789	-1.150716	3.048239	0.1631391	-1.317342	2.992419	0.2054422	-1.388346	2.974282	-0.2187022	-1.372944	3.098665	-0.2693473	-1.726052	3.003818	-0.1334053	-1.493945	3.23649	-0.1773512	-1.56578	3.141305	-0.09109977	-1.377592	3.138795	0.01564396	-1.630572	3.163667	0.03488387	-1.980447	3.426629	0.06757332	-2.046423	3.319867	-0.171309	-0.9185609	2.956278	-0.0787292	-1.242294	2.728974	-0.09925882	-1.186462	2.810699	0.2638653	-1.437601	2.947165	0.171195	-1.408009	2.938301
8	-0.156708	-1.387483	3.148949	-0.1643673	-1.117629	3.041816	-0.1727158	-0.8523116	2.925468	-0.1308876	-0.7576125	2.888829	-0.2993715	-0.9068618	2.912475	-0.3742758	-1.096775	2.907146	-0.225313	-1.197093	2.81931	-0.1413388	-1.206845	2.768811	0.01314686	-0.9330281	3.03878	0.08011789	-1.150716	3.048239	0.1631391	-1.317342	2.992419	0.2054422	-1.388346	2.974282	-0.2187022	-1.372944	3.098665	-0.2693473	-1.726052	3.003818	-0.1334053	-1.493945	3.23649	-0.1773512	-1.56578	3.141305	-0.09109977	-1.377592	3.138795	0.01564396	-1.630572	3.163667	0.03488387	-1.980447	3.426629	0.06757332	-2.046423	3.319867	-0.171309	-0.9185609	2.956278	-0.0787292	-1.242294	2.728974	-0.09925882	-1.186462	2.810699	0.2638653	-1.437601	2.947165	0.171195	-1.408009	2.938301
8	-0.1355412	-1.407262	3.167619	-0.1515612	-1.131866	3.057046	-0.1642098	-0.8603204	2.936438	-0.116949	-0.7672962	2.90269	-0.2856098	-0.9179645	2.920797	-0.3446691	-1.112232	2.895849	-0.1655507	-1.197234	2.805011	-0.08752798	-1.202599	2.768488	0.02265671	-0.9485937	3.059259	0.08768263	-1.171951	3.07276	0.1644896	-1.338314	3.020225	0.2029867	-1.402783	3.007323	-0.1977843	-1.393327	3.111777	-0.2654842	-1.741626	2.996667	-0.09643225	-1.553179	3.242167	-0.1587961	-1.60638	3.134461	-0.07093848	-1.394612	3.163203	0.02220219	-1.636523	3.167285	0.03577299	-1.996085	3.418479	0.07031955	-2.0569	3.314541	-0.161731	-0.9280823	2.9685	-0.02669584	-1.233801	2.73908	-0.05347579	-1.181522	2.819419	0.2636344	-1.453629	2.982477	0.1687477	-1.420881	2.972218
8	-0.1355412	-1.407262	3.167619	-0.1515612	-1.131866	3.057046	-0.1642098	-0.8603204	2.936438	-0.116949	-0.7672962	2.90269	-0.2856098	-0.9179645	2.920797	-0.3446691	-1.112232	2.895849	-0.1655507	-1.197234	2.805011	-0.08752798	-1.202599	2.768488	0.02265671	-0.9485937	3.059259	0.08768263	-1.171951	3.07276	0.1644896	-1.338314	3.020225	0.2029867	-1.402783	3.007323	-0.1977843	-1.393327	3.111777	-0.2654842	-1.741626	2.996667	-0.09643225	-1.553179	3.242167	-0.1587961	-1.60638	3.134461	-0.07093848	-1.394612	3.163203	0.02220219	-1.636523	3.167285	0.03577299	-1.996085	3.418479	0.07031955	-2.0569	3.314541	-0.161731	-0.9280823	2.9685	-0.02669584	-1.233801	2.73908	-0.05347579	-1.181522	2.819419	0.2636344	-1.453629	2.982477	0.1687477	-1.420881	2.972218
8	-0.1252494	-1.418174	3.172993	-0.1432035	-1.1399	3.06427	-0.1555073	-0.8654498	2.945082	-0.1053609	-0.7727836	2.912065	-0.2713053	-0.9267526	2.926074	-0.3071765	-1.124772	2.880613	-0.1258684	-1.196202	2.799347	-0.04131488	-1.1952	2.771148	0.02807826	-0.9587648	3.073653	0.09333929	-1.197258	3.102109	0.1661792	-1.35886	3.04477	0.19466	-1.409911	3.038158	-0.1815129	-1.406484	3.114813	-0.2620425	-1.752825	2.992905	-0.08285169	-1.483213	3.217222	-0.1433375	-1.576128	3.131698	-0.06410534	-1.404599	3.170013	0.06322336	-1.670993	3.177441	0.05286817	-1.971953	3.358361	0.08512708	-1.998887	3.246694	-0.1531378	-0.9340452	2.976752	0.02436341	-1.220104	2.741992	-0.02703991	-1.172376	2.813083	0.2522729	-1.461503	3.01576	0.1629182	-1.432633	3.004985
8	-0.1252494	-1.418174	3.172993	-0.1432035	-1.1399	3.06427	-0.1555073	-0.8654498	2.945082	-0.1053609	-0.7727836	2.912065	-0.2713053	-0.9267526	2.926074	-0.3071765	-1.124772	2.880613	-0.1258684	-1.196202	2.799347	-0.04131488	-1.1952	2.771148	0.02807826	-0.9587648	3.073653	0.09333929	-1.197258	3.102109	0.1661792	-1.35886	3.04477	0.19466	-1.409911	3.038158	-0.1815129	-1.406484	3.114813	-0.2620425	-1.752825	2.992905	-0.08285169	-1.483213	3.217222	-0.1433375	-1.576128	3.131698	-0.06410534	-1.404599	3.170013	0.06322336	-1.670993	3.177441	0.05286817	-1.971953	3.358361	0.08512708	-1.998887	3.246694	-0.1531378	-0.9340452	2.976752	0.02436341	-1.220104	2.741992	-0.02703991	-1.172376	2.813083	0.2522729	-1.461503	3.01576	0.1629182	-1.432633	3.004985
8	-0.1170184	-1.425338	3.175286	-0.1335399	-1.145644	3.069133	-0.1440395	-0.8681793	2.952882	-0.09178475	-0.7749196	2.920587	-0.2587894	-0.9311358	2.928228	-0.281161	-1.131607	2.873123	-0.1045995	-1.194985	2.798367	-0.01623621	-1.188748	2.777748	0.04091955	-0.9808117	3.110525	0.09442154	-1.208082	3.119787	0.1629993	-1.370976	3.065154	0.1863444	-1.413611	3.064537	-0.167108	-1.414384	3.11384	-0.2596832	-1.759997	2.990893	-0.08404936	-1.640784	3.260234	-0.1470492	-1.652818	3.133848	-0.0594242	-1.411034	3.174073	0.07450157	-1.675887	3.180832	0.04423657	-1.982445	3.360292	0.08135584	-2.01378	3.254931	-0.1418864	-0.9377061	2.983844	0.05388195	-1.204854	2.753197	0.01059007	-1.163675	2.785943	0.2435548	-1.462829	3.041341	0.1581364	-1.443779	3.042233
