p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
17	-0.045532	0.2468563	3.963618	-0.009347115	0.448965	3.748917	0.0307985	0.6369345	3.506712	0.08957488	0.6986001	3.42906	-0.1249195	0.5937994	3.545686	-0.3409481	0.5347369	3.616628	-0.2729055	0.4179049	3.393801	-0.275887	0.3823477	3.371185	0.1603266	0.5994902	3.621783	0.273623	0.4877136	3.776497	0.3151305	0.3483857	3.579638	0.2806315	0.3428022	3.605076	-0.1192566	0.247589	3.915904	-0.1867597	-0.1364929	4.070476	-0.2482332	-0.4918067	4.35739	-0.2085025	-0.5697045	4.344515	0.02963284	0.2431026	3.940648	0.04092506	-0.114958	3.9591	-0.07666882	-0.4337142	4.302681	-0.01456819	-0.5323471	4.324414	0.02267805	0.5896749	3.570265	-0.2585329	0.3466254	3.353647	-0.2203432	0.36301	3.360797	0.2524362	0.3248724	3.585518	0.2506279	0.348828	3.576334
17	-0.045532	0.2468563	3.963618	-0.009347115	0.448965	3.748917	0.0307985	0.6369345	3.506712	0.08957488	0.6986001	3.42906	-0.1249195	0.5937994	3.545686	-0.3409481	0.5347369	3.616628	-0.2729055	0.4179049	3.393801	-0.275887	0.3823477	3.371185	0.1603266	0.5994902	3.621783	0.273623	0.4877136	3.776497	0.3151305	0.3483857	3.579638	0.2806315	0.3428022	3.605076	-0.1192566	0.247589	3.915904	-0.1867597	-0.1364929	4.070476	-0.2482332	-0.4918067	4.35739	-0.2085025	-0.5697045	4.344515	0.02963284	0.2431026	3.940648	0.04092506	-0.114958	3.9591	-0.07666882	-0.4337142	4.302681	-0.01456819	-0.5323471	4.324414	0.02267805	0.5896749	3.570265	-0.2585329	0.3466254	3.353647	-0.2203432	0.36301	3.360797	0.2524362	0.3248724	3.585518	0.2506279	0.348828	3.576334
17	-0.05029264	0.2287902	3.966117	-0.01489545	0.4334143	3.753349	0.017609	0.6186618	3.524115	0.07325223	0.6833063	3.444857	-0.1334268	0.5812269	3.570334	-0.3404592	0.5022393	3.646249	-0.2717789	0.4203091	3.392072	-0.2809196	0.3868946	3.37166	0.1527345	0.5947279	3.626473	0.2499181	0.5035093	3.816353	0.2976034	0.353814	3.616816	0.2759865	0.35023	3.616219	-0.123593	0.2285666	3.920027	-0.1982454	-0.1444415	4.081128	-0.26519	-0.4984996	4.361641	-0.2250958	-0.5878157	4.305357	0.02397759	0.2251594	3.942689	-0.01566647	-0.1289856	4.002697	-0.1338543	-0.4435599	4.342893	-0.04480473	-0.5117966	4.342761	0.01093924	0.5741154	3.583052	-0.2598054	0.3548644	3.353207	-0.2271925	0.3708015	3.360183	0.2446877	0.3304443	3.591863	0.2432303	0.3561796	3.595196
17	-0.05029264	0.2287902	3.966117	-0.01489545	0.4334143	3.753349	0.017609	0.6186618	3.524115	0.07325223	0.6833063	3.444857	-0.1334268	0.5812269	3.570334	-0.3404592	0.5022393	3.646249	-0.2717789	0.4203091	3.392072	-0.2809196	0.3868946	3.37166	0.1527345	0.5947279	3.626473	0.2499181	0.5035093	3.816353	0.2976034	0.353814	3.616816	0.2759865	0.35023	3.616219	-0.123593	0.2285666	3.920027	-0.1982454	-0.1444415	4.081128	-0.26519	-0.4984996	4.361641	-0.2250958	-0.5878157	4.305357	0.02397759	0.2251594	3.942689	-0.01566647	-0.1289856	4.002697	-0.1338543	-0.4435599	4.342893	-0.04480473	-0.5117966	4.342761	0.01093924	0.5741154	3.583052	-0.2598054	0.3548644	3.353207	-0.2271925	0.3708015	3.360183	0.2446877	0.3304443	3.591863	0.2432303	0.3561796	3.595196
17	-0.05696326	0.1972013	3.979556	-0.03057498	0.3913977	3.782779	-0.006722697	0.5773627	3.572046	0.04720425	0.652702	3.480188	-0.14295	0.5494047	3.599767	-0.3540218	0.4789768	3.672051	-0.266749	0.390195	3.393395	-0.2838206	0.3791734	3.381601	0.1255765	0.5641063	3.636017	0.2213811	0.463645	3.844197	0.2712491	0.3679049	3.683653	0.2765333	0.3475715	3.640473	-0.1298594	0.2002263	3.932165	-0.2034377	-0.1487823	4.08696	-0.2740916	-0.5025119	4.366861	-0.233515	-0.5935179	4.298319	0.01694541	0.1913926	3.957349	-0.04921384	-0.1538859	4.037664	-0.1569136	-0.4670193	4.380999	-0.09688149	-0.53807	4.403293	-0.0122624	0.5329452	3.626335	-0.2565591	0.3527182	3.361398	-0.2331755	0.3632677	3.362357	0.2646931	0.3323231	3.612941	0.2422748	0.3491564	3.628619
17	-0.05696326	0.1972013	3.979556	-0.03057498	0.3913977	3.782779	-0.006722697	0.5773627	3.572046	0.04720425	0.652702	3.480188	-0.14295	0.5494047	3.599767	-0.3540218	0.4789768	3.672051	-0.266749	0.390195	3.393395	-0.2838206	0.3791734	3.381601	0.1255765	0.5641063	3.636017	0.2213811	0.463645	3.844197	0.2712491	0.3679049	3.683653	0.2765333	0.3475715	3.640473	-0.1298594	0.2002263	3.932165	-0.2034377	-0.1487823	4.08696	-0.2740916	-0.5025119	4.366861	-0.233515	-0.5935179	4.298319	0.01694541	0.1913926	3.957349	-0.04921384	-0.1538859	4.037664	-0.1569136	-0.4670193	4.380999	-0.09688149	-0.53807	4.403293	-0.0122624	0.5329452	3.626335	-0.2565591	0.3527182	3.361398	-0.2331755	0.3632677	3.362357	0.2646931	0.3323231	3.612941	0.2422748	0.3491564	3.628619
17	-0.05902864	0.1802055	3.987727	-0.03776835	0.3694066	3.79856	-0.01777211	0.5554896	3.596262	0.03539512	0.6371865	3.498347	-0.1469421	0.5363403	3.612222	-0.343251	0.4321338	3.698429	-0.2580467	0.3556222	3.408401	-0.2772054	0.3565105	3.408267	0.1198986	0.5488107	3.648849	0.2029469	0.422414	3.85665	0.269351	0.3062075	3.665386	0.2832642	0.321187	3.654612	-0.1320889	0.1819809	3.942291	-0.20525	-0.1532695	4.091851	-0.2770509	-0.504297	4.375547	-0.2378944	-0.5962473	4.295519	0.01481105	0.1748574	3.964587	-0.04907201	-0.1670881	4.048949	-0.1541912	-0.4762018	4.394125	-0.04934173	-0.5388619	4.403665	-0.02312936	0.5101795	3.649328	-0.2420234	0.3398676	3.386358	-0.2259869	0.3472676	3.39242	0.2798534	0.3074031	3.629678	0.2704351	0.3370662	3.640056
17	-0.05902864	0.1802055	3.987727	-0.03776835	0.3694066	3.79856	-0.01777211	0.5554896	3.596262	0.03539512	0.6371865	3.498347	-0.1469421	0.5363403	3.612222	-0.343251	0.4321338	3.698429	-0.2580467	0.3556222	3.408401	-0.2772054	0.3565105	3.408267	0.1198986	0.5488107	3.648849	0.2029469	0.422414	3.85665	0.269351	0.3062075	3.665386	0.2832642	0.321187	3.654612	-0.1320889	0.1819809	3.942291	-0.20525	-0.1532695	4.091851	-0.2770509	-0.504297	4.375547	-0.2378944	-0.5962473	4.295519	0.01481105	0.1748574	3.964587	-0.04907201	-0.1670881	4.048949	-0.1541912	-0.4762018	4.394125	-0.04934173	-0.5388619	4.403665	-0.02312936	0.5101795	3.649328	-0.2420234	0.3398676	3.386358	-0.2259869	0.3472676	3.39242	0.2798534	0.3074031	3.629678	0.2704351	0.3370662	3.640056
17	-0.06327827	0.167221	4.008213	-0.04145139	0.3592562	3.806939	-0.02269237	0.5469468	3.605592	0.02741976	0.6270321	3.508767	-0.1578584	0.5088981	3.630128	-0.3493026	0.3967597	3.719704	-0.2582332	0.3283793	3.428122	-0.2653024	0.3315139	3.43287	0.1183322	0.540679	3.656746	0.1921691	0.3988065	3.857627	0.261777	0.277	3.667623	0.2862536	0.2854691	3.650518	-0.1360774	0.1710534	3.958674	-0.2025134	-0.1532438	4.087974	-0.2451385	-0.4934878	4.400218	-0.2385736	-0.5836929	4.341341	0.010522	0.1591677	3.989696	-0.005441716	-0.1900337	4.026298	-0.1304705	-0.4885095	4.378668	-0.03047474	-0.5458094	4.404107	-0.02788505	0.5013254	3.658203	-0.227674	0.3233661	3.410246	-0.2182933	0.3368469	3.410782	0.2829318	0.2872471	3.627143	0.273843	0.3038847	3.623756
17	-0.06327827	0.167221	4.008213	-0.04145139	0.3592562	3.806939	-0.02269237	0.5469468	3.605592	0.02741976	0.6270321	3.508767	-0.1578584	0.5088981	3.630128	-0.3493026	0.3967597	3.719704	-0.2582332	0.3283793	3.428122	-0.2653024	0.3315139	3.43287	0.1183322	0.540679	3.656746	0.1921691	0.3988065	3.857627	0.261777	0.277	3.667623	0.2862536	0.2854691	3.650518	-0.1360774	0.1710534	3.958674	-0.2025134	-0.1532438	4.087974	-0.2451385	-0.4934878	4.400218	-0.2385736	-0.5836929	4.341341	0.010522	0.1591677	3.989696	-0.005441716	-0.1900337	4.026298	-0.1304705	-0.4885095	4.378668	-0.03047474	-0.5458094	4.404107	-0.02788505	0.5013254	3.658203	-0.227674	0.3233661	3.410246	-0.2182933	0.3368469	3.410782	0.2829318	0.2872471	3.627143	0.273843	0.3038847	3.623756
