p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
37	-0.0164978	-1.047685	3.21185	0.0416714	-0.7706719	3.029827	0.1036299	-0.5005387	2.834228	0.1227062	-0.4115697	2.800042	-0.05516098	-0.5313643	2.916	-0.1058741	-0.6460199	3.093408	-0.145057	-0.8069139	3.255427	-0.1623211	-0.8010836	3.289823	0.1989241	-0.6448537	2.937176	0.1763106	-0.8580888	2.935363	0.008674808	-0.8485345	2.822769	-0.05900592	-0.8502042	2.782629	-0.07511554	-1.019387	3.188837	-0.08809223	-1.309811	3.214479	-0.04906302	-1.672842	3.410207	-0.05940206	-1.734572	3.298409	0.04270958	-1.055595	3.164394	0.08443858	-1.312343	3.249861	0.06802481	-1.664467	3.470899	0.04816264	-1.737902	3.421794	0.08789579	-0.5673097	2.885325	-0.1772665	-0.8289458	3.278968	-0.1548873	-0.8305381	3.243622	-0.0918372	-0.8383979	2.764014	-0.0559669	-0.8739068	2.746264
37	-0.1344877	-1.05182	3.176297	-0.09695947	-0.7939922	3.060663	-0.05233055	-0.5467882	2.928028	-0.001755405	-0.4425011	2.890649	-0.1865707	-0.5252201	2.954926	-0.3057467	-0.6828723	3.044655	-0.2811476	-0.8110279	2.879546	-0.2903254	-0.8176631	2.869615	0.09994488	-0.6278002	2.949824	0.1016277	-0.8544701	2.989949	-0.01208488	-0.9434057	2.871648	-0.05296286	-0.9591291	2.801435	-0.201944	-1.021472	3.157256	-0.2317327	-1.307088	3.168446	-0.217462	-1.697357	3.381567	-0.2306019	-1.758727	3.265745	-0.0669027	-1.057737	3.128027	-0.02116024	-1.317932	3.252457	-0.05288597	-1.679522	3.447932	-0.06156686	-1.747713	3.389585	-0.0680052	-0.6067621	2.966825	-0.2904631	-0.8407288	2.844556	-0.2594511	-0.8068135	2.856008	-0.07734542	-0.9726469	2.757677	-0.07909965	-0.936861	2.781736
37	-0.1344877	-1.05182	3.176297	-0.09695947	-0.7939922	3.060663	-0.05233055	-0.5467882	2.928028	-0.001755405	-0.4425011	2.890649	-0.1865707	-0.5252201	2.954926	-0.3057467	-0.6828723	3.044655	-0.2811476	-0.8110279	2.879546	-0.2903254	-0.8176631	2.869615	0.09994488	-0.6278002	2.949824	0.1016277	-0.8544701	2.989949	-0.01208488	-0.9434057	2.871648	-0.05296286	-0.9591291	2.801435	-0.201944	-1.021472	3.157256	-0.2317327	-1.307088	3.168446	-0.217462	-1.697357	3.381567	-0.2306019	-1.758727	3.265745	-0.0669027	-1.057737	3.128027	-0.02116024	-1.317932	3.252457	-0.05288597	-1.679522	3.447932	-0.06156686	-1.747713	3.389585	-0.0680052	-0.6067621	2.966825	-0.2904631	-0.8407288	2.844556	-0.2594511	-0.8068135	2.856008	-0.07734542	-0.9726469	2.757677	-0.07909965	-0.936861	2.781736
37	-0.140334	-1.049585	3.17916	-0.09816597	-0.7952501	3.062839	-0.04628973	-0.5485994	2.92402	-0.004411488	-0.4402539	2.888979	-0.1871011	-0.5252478	2.954503	-0.3062353	-0.6947801	3.030674	-0.2750659	-0.8358049	2.890042	-0.2756288	-0.8609795	2.876657	0.09903363	-0.6287079	2.948038	0.09402204	-0.855634	2.989898	-0.0473967	-0.9715649	2.888207	-0.0848838	-1.000963	2.841544	-0.2100664	-1.015591	3.158874	-0.2244577	-1.307024	3.181145	-0.2045171	-1.67882	3.408921	-0.216196	-1.741193	3.295303	-0.07116966	-1.0579	3.131221	-0.02033355	-1.322506	3.267706	-0.04980489	-1.673933	3.453579	-0.0617386	-1.738954	3.373998	-0.06387204	-0.6086293	2.964396	-0.269996	-0.8910117	2.839162	-0.246787	-0.8541733	2.862202	-0.1154104	-1.028542	2.806541	-0.1094127	-0.9770409	2.825125
37	-0.140334	-1.049585	3.17916	-0.09816597	-0.7952501	3.062839	-0.04628973	-0.5485994	2.92402	-0.004411488	-0.4402539	2.888979	-0.1871011	-0.5252478	2.954503	-0.3062353	-0.6947801	3.030674	-0.2750659	-0.8358049	2.890042	-0.2756288	-0.8609795	2.876657	0.09903363	-0.6287079	2.948038	0.09402204	-0.855634	2.989898	-0.0473967	-0.9715649	2.888207	-0.0848838	-1.000963	2.841544	-0.2100664	-1.015591	3.158874	-0.2244577	-1.307024	3.181145	-0.2045171	-1.67882	3.408921	-0.216196	-1.741193	3.295303	-0.07116966	-1.0579	3.131221	-0.02033355	-1.322506	3.267706	-0.04980489	-1.673933	3.453579	-0.0617386	-1.738954	3.373998	-0.06387204	-0.6086293	2.964396	-0.269996	-0.8910117	2.839162	-0.246787	-0.8541733	2.862202	-0.1154104	-1.028542	2.806541	-0.1094127	-0.9770409	2.825125
37	-0.1489048	-1.046218	3.18019	-0.09948099	-0.7952802	3.063141	-0.04278768	-0.5478294	2.920138	-0.007493152	-0.4363583	2.885507	-0.1932275	-0.5245253	2.947695	-0.3083147	-0.701556	3.023238	-0.2714398	-0.8520337	2.901719	-0.2592962	-0.9010167	2.892672	0.09801429	-0.6289271	2.946514	0.07223398	-0.8411344	3.016712	-0.0639039	-0.9864463	2.901644	-0.1068172	-1.028707	2.885666	-0.2226046	-1.009192	3.156339	-0.2181407	-1.306596	3.191971	-0.1934069	-1.670868	3.432125	-0.1846739	-1.741669	3.375	-0.07591545	-1.057263	3.133732	-0.01987781	-1.324982	3.275377	-0.04806974	-1.670096	3.457018	-0.05940981	-1.733911	3.366761	-0.06091743	-0.6082197	2.960915	-0.2517782	-0.940665	2.852872	-0.2291291	-0.9044112	2.883241	-0.1394316	-1.071455	2.857134	-0.1328717	-1.004912	2.875629
37	-0.1489048	-1.046218	3.18019	-0.09948099	-0.7952802	3.063141	-0.04278768	-0.5478294	2.920138	-0.007493152	-0.4363583	2.885507	-0.1932275	-0.5245253	2.947695	-0.3083147	-0.701556	3.023238	-0.2714398	-0.8520337	2.901719	-0.2592962	-0.9010167	2.892672	0.09801429	-0.6289271	2.946514	0.07223398	-0.8411344	3.016712	-0.0639039	-0.9864463	2.901644	-0.1068172	-1.028707	2.885666	-0.2226046	-1.009192	3.156339	-0.2181407	-1.306596	3.191971	-0.1934069	-1.670868	3.432125	-0.1846739	-1.741669	3.375	-0.07591545	-1.057263	3.133732	-0.01987781	-1.324982	3.275377	-0.04806974	-1.670096	3.457018	-0.05940981	-1.733911	3.366761	-0.06091743	-0.6082197	2.960915	-0.2517782	-0.940665	2.852872	-0.2291291	-0.9044112	2.883241	-0.1394316	-1.071455	2.857134	-0.1328717	-1.004912	2.875629
37	-0.1514758	-1.045508	3.17969	-0.1003351	-0.7948494	3.062108	-0.04214524	-0.546548	2.917463	-0.01148128	-0.4330878	2.882369	-0.200901	-0.525076	2.941077	-0.3146072	-0.7054323	3.018228	-0.2700567	-0.865529	2.918728	-0.2468126	-0.9253367	2.906965	0.09680302	-0.6289272	2.945846	0.06407241	-0.8342503	3.031667	-0.07232387	-0.9980494	2.921391	-0.1228046	-1.045387	2.925296	-0.2270078	-1.008556	3.152062	-0.2143018	-1.306624	3.198442	-0.1880885	-1.668403	3.44313	-0.1640238	-1.746533	3.422481	-0.0770693	-1.057291	3.134527	-0.02053575	-1.317932	3.251064	-0.04720118	-1.667722	3.459112	-0.05882218	-1.735893	3.411524	-0.05948684	-0.6072763	2.957798	-0.2276064	-0.9759522	2.869887	-0.211761	-0.935051	2.914932	-0.1591686	-1.098396	2.90762	-0.154342	-1.025838	2.927855
37	-0.1514758	-1.045508	3.17969	-0.1003351	-0.7948494	3.062108	-0.04214524	-0.546548	2.917463	-0.01148128	-0.4330878	2.882369	-0.200901	-0.525076	2.941077	-0.3146072	-0.7054323	3.018228	-0.2700567	-0.865529	2.918728	-0.2468126	-0.9253367	2.906965	0.09680302	-0.6289272	2.945846	0.06407241	-0.8342503	3.031667	-0.07232387	-0.9980494	2.921391	-0.1228046	-1.045387	2.925296	-0.2270078	-1.008556	3.152062	-0.2143018	-1.306624	3.198442	-0.1880885	-1.668403	3.44313	-0.1640238	-1.746533	3.422481	-0.0770693	-1.057291	3.134527	-0.02053575	-1.317932	3.251064	-0.04720118	-1.667722	3.459112	-0.05882218	-1.735893	3.411524	-0.05948684	-0.6072763	2.957798	-0.2276064	-0.9759522	2.869887	-0.211761	-0.935051	2.914932	-0.1591686	-1.098396	2.90762	-0.154342	-1.025838	2.927855
37	-0.1361823	-1.054287	3.174339	-0.09992156	-0.7950971	3.060269	-0.04328364	-0.5452407	2.915465	-0.01745936	-0.4304586	2.879479	-0.2110256	-0.5277192	2.936481	-0.3259812	-0.7096127	3.015023	-0.2699449	-0.8728204	2.932659	-0.2336122	-0.9421067	2.917272	0.09499969	-0.6280831	2.945976	0.06068633	-0.8302711	3.039765	-0.07461751	-1.00372	2.937895	-0.1296594	-1.052989	2.947447	-0.1991785	-1.03346	3.141911	-0.2121001	-1.306813	3.202017	-0.185169	-1.666712	3.448315	-0.1573492	-1.747537	3.440633	-0.07185191	-1.057935	3.134205	-0.02045969	-1.313689	3.229405	-0.04726463	-1.666458	3.459455	-0.05327359	-1.739522	3.427803	-0.05907984	-0.6066566	2.955513	-0.1980031	-0.9971636	2.886003	-0.1989608	-0.9393688	2.943	-0.1602005	-1.098134	2.940574	-0.1624397	-1.033857	2.97549
