p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
30	-0.8555868	-0.7130813	2.972289	-0.8666503	-0.3685964	2.898854	-0.8715834	-0.0301754	2.813383	-0.8794258	0.09536302	2.857171	-0.9493503	-0.1746464	2.709424	-1.069257	-0.4267495	2.716471	-1.204546	-0.6618172	2.795841	-1.2499	-0.7262622	2.8375	-0.6891763	-0.1843342	2.836447	-0.5715257	-0.4300886	2.975421	-0.6168665	-0.578396	3.091514	-0.6115649	-0.6223362	3.148487	-0.9144216	-0.7089892	2.901004	-1.031754	-1.108397	3.115718	-1.065856	-1.596509	3.242485	-1.10407	-1.648653	3.22813	-0.7768385	-0.6931725	2.983799	-1.008963	-1.079524	3.104117	-0.7579875	-1.378525	3.356179	-0.760041	-1.476781	3.397804	-0.8715973	-0.113838	2.836815	-1.287891	-0.7965017	2.867934	-1.255412	-0.6936724	2.78697	-0.6164646	-0.6782202	3.201407	-0.6474984	-0.6091819	3.125995
30	0.07816175	-0.7508046	2.854168	0.07862472	-0.4281259	2.771248	0.08086948	-0.1100296	2.672248	0.07158244	0.01741861	2.701762	-0.06931728	-0.3032685	2.658803	-0.1685626	-0.4935251	2.744876	-0.302069	-0.4883002	2.927002	-0.2510172	-0.4484024	2.979392	0.216497	-0.2212231	2.721329	0.3105736	-0.4077087	2.866159	0.4558772	-0.3961075	3.088106	0.5062764	-0.3944727	3.165575	-0.009638056	-0.7531151	2.792269	0.01504177	-1.146479	2.987802	0.04758261	-1.531542	3.071937	0.09677538	-1.614393	2.978766	0.1639596	-0.7297362	2.845051	0.04222888	-1.044878	2.896333	0.07643262	-1.506938	3.070299	0.1090815	-1.578969	2.95515	0.08004429	-0.1889	2.699798	-0.2540731	-0.4557881	2.980803	-0.2399579	-0.4489847	2.931486	0.5493152	-0.4135734	3.200985	0.5164675	-0.3577413	3.145198
30	0.09457687	-0.7754715	2.832459	0.08834381	-0.4533462	2.753915	0.0837116	-0.1373693	2.658938	0.07636235	-0.00383626	2.69334	-0.06259754	-0.3170267	2.650815	-0.1645401	-0.515402	2.742655	-0.2940388	-0.4996215	2.915792	-0.2549684	-0.4693908	2.974905	0.227281	-0.2421842	2.712789	0.3437108	-0.4039575	2.8737	0.4902166	-0.3898954	3.096363	0.5392533	-0.38648	3.173442	0.007189809	-0.7800504	2.766214	0.03467154	-1.167699	2.977974	0.0579905	-1.547285	3.069108	0.113214	-1.634035	2.969662	0.1795394	-0.7518147	2.827286	0.05028513	-1.059214	2.882898	0.09226814	-1.522381	3.065552	0.1216737	-1.594057	2.955306	0.08476376	-0.2155614	2.685476	-0.2480725	-0.4614065	2.991494	-0.2393063	-0.4697634	2.939885	0.5837154	-0.4034601	3.208782	0.5452253	-0.3512561	3.151276
30	0.09457687	-0.7754715	2.832459	0.08834381	-0.4533462	2.753915	0.0837116	-0.1373693	2.658938	0.07636235	-0.00383626	2.69334	-0.06259754	-0.3170267	2.650815	-0.1645401	-0.515402	2.742655	-0.2940388	-0.4996215	2.915792	-0.2549684	-0.4693908	2.974905	0.227281	-0.2421842	2.712789	0.3437108	-0.4039575	2.8737	0.4902166	-0.3898954	3.096363	0.5392533	-0.38648	3.173442	0.007189809	-0.7800504	2.766214	0.03467154	-1.167699	2.977974	0.0579905	-1.547285	3.069108	0.113214	-1.634035	2.969662	0.1795394	-0.7518147	2.827286	0.05028513	-1.059214	2.882898	0.09226814	-1.522381	3.065552	0.1216737	-1.594057	2.955306	0.08476376	-0.2155614	2.685476	-0.2480725	-0.4614065	2.991494	-0.2393063	-0.4697634	2.939885	0.5837154	-0.4034601	3.208782	0.5452253	-0.3512561	3.151276
30	0.1133537	-0.7966531	2.81483	0.09840004	-0.4734114	2.741196	0.08667929	-0.1561491	2.650669	0.08000505	-0.02331752	2.686139	-0.05317655	-0.3334884	2.641317	-0.160722	-0.5436727	2.735228	-0.2887288	-0.5277886	2.895764	-0.2586352	-0.5022643	2.965905	0.2367158	-0.264305	2.703186	0.3507158	-0.4168567	2.862091	0.4972526	-0.4005485	3.085834	0.5456998	-0.3958796	3.163229	0.02289732	-0.7997835	2.748059	0.04845796	-1.174805	2.966223	0.0723112	-1.55203	3.061787	0.1282255	-1.626836	2.950861	0.2008479	-0.7734898	2.811034	0.06959161	-1.079203	2.869823	0.1155394	-1.538882	3.063259	0.1431609	-1.611118	2.956446	0.08939218	-0.2346368	2.676147	-0.2386098	-0.4847147	2.970399	-0.2438359	-0.5047562	2.93132	0.5904444	-0.4120637	3.198404	0.5507051	-0.3607477	3.140729
30	0.1133537	-0.7966531	2.81483	0.09840004	-0.4734114	2.741196	0.08667929	-0.1561491	2.650669	0.08000505	-0.02331752	2.686139	-0.05317655	-0.3334884	2.641317	-0.160722	-0.5436727	2.735228	-0.2887288	-0.5277886	2.895764	-0.2586352	-0.5022643	2.965905	0.2367158	-0.264305	2.703186	0.3507158	-0.4168567	2.862091	0.4972526	-0.4005485	3.085834	0.5456998	-0.3958796	3.163229	0.02289732	-0.7997835	2.748059	0.04845796	-1.174805	2.966223	0.0723112	-1.55203	3.061787	0.1282255	-1.626836	2.950861	0.2008479	-0.7734898	2.811034	0.06959161	-1.079203	2.869823	0.1155394	-1.538882	3.063259	0.1431609	-1.611118	2.956446	0.08939218	-0.2346368	2.676147	-0.2386098	-0.4847147	2.970399	-0.2438359	-0.5047562	2.93132	0.5904444	-0.4120637	3.198404	0.5507051	-0.3607477	3.140729
30	0.1251599	-0.8077487	2.804574	0.1066555	-0.4861006	2.732674	0.09046155	-0.1695175	2.644687	0.08201932	-0.03472375	2.681604	-0.0476066	-0.3430916	2.635714	-0.1582755	-0.5604889	2.728947	-0.2496093	-0.527342	2.895308	-0.2397599	-0.5055199	2.970759	0.2417917	-0.2757994	2.697014	0.3636364	-0.434608	2.852692	0.5124952	-0.4276192	3.074793	0.5613963	-0.4261044	3.151768	0.03319766	-0.8106446	2.737639	0.05482425	-1.125699	2.925265	0.09165719	-1.490614	3.01411	0.129321	-1.545077	2.895166	0.2138812	-0.7844276	2.801205	0.1055619	-1.10632	2.846147	0.1293972	-1.548907	3.057731	0.1557962	-1.621511	2.952347	0.09435607	-0.2479613	2.669458	-0.2199153	-0.4859563	2.968596	-0.2277054	-0.5088487	2.936536	0.6061645	-0.4417337	3.186804	0.5658377	-0.3907986	3.129289
30	0.1251599	-0.8077487	2.804574	0.1066555	-0.4861006	2.732674	0.09046155	-0.1695175	2.644687	0.08201932	-0.03472375	2.681604	-0.0476066	-0.3430916	2.635714	-0.1582755	-0.5604889	2.728947	-0.2496093	-0.527342	2.895308	-0.2397599	-0.5055199	2.970759	0.2417917	-0.2757994	2.697014	0.3636364	-0.434608	2.852692	0.5124952	-0.4276192	3.074793	0.5613963	-0.4261044	3.151768	0.03319766	-0.8106446	2.737639	0.05482425	-1.125699	2.925265	0.09165719	-1.490614	3.01411	0.129321	-1.545077	2.895166	0.2138812	-0.7844276	2.801205	0.1055619	-1.10632	2.846147	0.1293972	-1.548907	3.057731	0.1557962	-1.621511	2.952347	0.09435607	-0.2479613	2.669458	-0.2199153	-0.4859563	2.968596	-0.2277054	-0.5088487	2.936536	0.6061645	-0.4417337	3.186804	0.5658377	-0.3907986	3.129289
30	0.1366694	-0.8148035	2.795196	0.1140565	-0.4941994	2.725418	0.0937677	-0.1777639	2.639884	0.08359111	-0.04197968	2.677964	-0.04281634	-0.3498566	2.630347	-0.1482979	-0.5742569	2.710842	-0.2278513	-0.5248361	2.884824	-0.2278079	-0.5061155	2.967074	0.2451978	-0.2830002	2.690971	0.3725879	-0.443188	2.845878	0.5223649	-0.4405087	3.067211	0.5714816	-0.440432	3.143995	0.04427033	-0.8178136	2.727739	0.06211089	-1.128296	2.915967	0.09878118	-1.484616	3.004458	0.1396697	-1.563561	2.892148	0.2254588	-0.7911675	2.79255	0.1199034	-1.116248	2.836005	0.137073	-1.552884	3.056197	0.1873629	-1.647046	3.013183	0.09865955	-0.2562658	2.664022	-0.2092834	-0.486143	2.963291	-0.2178144	-0.5097481	2.9341	0.6162745	-0.4558977	3.178938	0.575717	-0.4051265	3.121524
30	0.1366694	-0.8148035	2.795196	0.1140565	-0.4941994	2.725418	0.0937677	-0.1777639	2.639884	0.08359111	-0.04197968	2.677964	-0.04281634	-0.3498566	2.630347	-0.1482979	-0.5742569	2.710842	-0.2278513	-0.5248361	2.884824	-0.2278079	-0.5061155	2.967074	0.2451978	-0.2830002	2.690971	0.3725879	-0.443188	2.845878	0.5223649	-0.4405087	3.067211	0.5714816	-0.440432	3.143995	0.04427033	-0.8178136	2.727739	0.06211089	-1.128296	2.915967	0.09878118	-1.484616	3.004458	0.1396697	-1.563561	2.892148	0.2254588	-0.7911675	2.79255	0.1199034	-1.116248	2.836005	0.137073	-1.552884	3.056197	0.1873629	-1.647046	3.013183	0.09865955	-0.2562658	2.664022	-0.2092834	-0.486143	2.963291	-0.2178144	-0.5097481	2.9341	0.6162745	-0.4558977	3.178938	0.575717	-0.4051265	3.121524
30	0.1490581	-0.8164887	2.78543	0.1256021	-0.49816	2.715681	0.1030863	-0.1838107	2.631269	0.08705748	-0.04700541	2.671278	-0.03800359	-0.3551327	2.623301	-0.1423412	-0.5804138	2.696949	-0.2152468	-0.5209411	2.874147	-0.2197218	-0.5040426	2.95996	0.2501366	-0.2860015	2.679899	0.3910584	-0.4411185	2.834339	0.5409719	-0.4434769	3.055092	0.5905741	-0.4448169	3.131737	0.05724734	-0.8198497	2.716688	0.06622626	-1.126661	2.909456	0.1051422	-1.482085	2.998574	0.1430352	-1.55851	2.885756	0.2370292	-0.792563	2.784038	0.131879	-1.121376	2.827914	0.1425556	-1.554382	3.054612	0.1846925	-1.628332	2.978941	0.1086963	-0.2618615	2.654974	-0.2024383	-0.4854332	2.957888	-0.2111319	-0.50644	2.928403	0.6349959	-0.4603939	3.166804	0.5950068	-0.4095019	3.109349
30	0.1490581	-0.8164887	2.78543	0.1256021	-0.49816	2.715681	0.1030863	-0.1838107	2.631269	0.08705748	-0.04700541	2.671278	-0.03800359	-0.3551327	2.623301	-0.1423412	-0.5804138	2.696949	-0.2152468	-0.5209411	2.874147	-0.2197218	-0.5040426	2.95996	0.2501366	-0.2860015	2.679899	0.3910584	-0.4411185	2.834339	0.5409719	-0.4434769	3.055092	0.5905741	-0.4448169	3.131737	0.05724734	-0.8198497	2.716688	0.06622626	-1.126661	2.909456	0.1051422	-1.482085	2.998574	0.1430352	-1.55851	2.885756	0.2370292	-0.792563	2.784038	0.131879	-1.121376	2.827914	0.1425556	-1.554382	3.054612	0.1846925	-1.628332	2.978941	0.1086963	-0.2618615	2.654974	-0.2024383	-0.4854332	2.957888	-0.2111319	-0.50644	2.928403	0.6349959	-0.4603939	3.166804	0.5950068	-0.4095019	3.109349
30	0.1620883	-0.8121226	2.774404	0.137049	-0.4965291	2.705608	0.1122177	-0.1845262	2.622715	0.0929664	-0.04818235	2.661262	-0.03061757	-0.3560272	2.611399	-0.1309246	-0.578703	2.669977	-0.2036778	-0.5133251	2.853523	-0.2104715	-0.4971028	2.939992	0.2560981	-0.2790059	2.658298	0.4259247	-0.4277439	2.794456	0.5607929	-0.527725	2.988602	0.6058886	-0.5614505	3.056867	0.06971671	-0.8167936	2.706257	0.07313783	-1.130189	2.906718	0.1142919	-1.48492	2.995665	0.1485522	-1.56109	2.884217	0.2502209	-0.786921	2.772342	0.1483508	-1.116398	2.820885	0.1488268	-1.548138	3.050172	0.1856231	-1.617548	2.958967	0.1184694	-0.2620471	2.645969	-0.1967119	-0.4819798	2.944877	-0.2035038	-0.4965652	2.911165	0.650017	-0.5771335	3.092051	0.6108415	-0.5252188	3.035078
30	0.1620883	-0.8121226	2.774404	0.137049	-0.4965291	2.705608	0.1122177	-0.1845262	2.622715	0.0929664	-0.04818235	2.661262	-0.03061757	-0.3560272	2.611399	-0.1309246	-0.578703	2.669977	-0.2036778	-0.5133251	2.853523	-0.2104715	-0.4971028	2.939992	0.2560981	-0.2790059	2.658298	0.4259247	-0.4277439	2.794456	0.5607929	-0.527725	2.988602	0.6058886	-0.5614505	3.056867	0.06971671	-0.8167936	2.706257	0.07313783	-1.130189	2.906718	0.1142919	-1.48492	2.995665	0.1485522	-1.56109	2.884217	0.2502209	-0.786921	2.772342	0.1483508	-1.116398	2.820885	0.1488268	-1.548138	3.050172	0.1856231	-1.617548	2.958967	0.1184694	-0.2620471	2.645969	-0.1967119	-0.4819798	2.944877	-0.2035038	-0.4965652	2.911165	0.650017	-0.5771335	3.092051	0.6108415	-0.5252188	3.035078
30	0.1699019	-0.8071137	2.768213	0.1477572	-0.4892876	2.696014	0.1303083	-0.1714365	2.603213	0.1026792	-0.04137681	2.646373	-0.01685396	-0.3467612	2.591663	-0.12255	-0.5705048	2.645883	-0.1961925	-0.5034921	2.831102	-0.2035632	-0.4870585	2.916371	0.2622235	-0.2647955	2.632025	0.4729681	-0.3893047	2.743953	0.5605946	-0.5739747	2.88607	0.5560938	-0.6166176	2.916299	0.07717262	-0.8134657	2.700656	0.08323593	-1.140091	2.906872	0.1322835	-1.572527	3.083577	0.1564592	-1.646566	2.974612	0.2581914	-0.7798339	2.76526	0.15779	-1.113796	2.816562	0.1519954	-1.540525	3.045525	0.1807454	-1.605288	2.939837	0.1341538	-0.2508168	2.629818	-0.19301	-0.4752201	2.927092	-0.1976441	-0.4832973	2.889451	0.5397044	-0.6546718	2.920859	0.5808594	-0.6097209	2.894111
30	0.1699019	-0.8071137	2.768213	0.1477572	-0.4892876	2.696014	0.1303083	-0.1714365	2.603213	0.1026792	-0.04137681	2.646373	-0.01685396	-0.3467612	2.591663	-0.12255	-0.5705048	2.645883	-0.1961925	-0.5034921	2.831102	-0.2035632	-0.4870585	2.916371	0.2622235	-0.2647955	2.632025	0.4729681	-0.3893047	2.743953	0.5605946	-0.5739747	2.88607	0.5560938	-0.6166176	2.916299	0.07717262	-0.8134657	2.700656	0.08323593	-1.140091	2.906872	0.1322835	-1.572527	3.083577	0.1564592	-1.646566	2.974612	0.2581914	-0.7798339	2.76526	0.15779	-1.113796	2.816562	0.1519954	-1.540525	3.045525	0.1807454	-1.605288	2.939837	0.1341538	-0.2508168	2.629818	-0.19301	-0.4752201	2.927092	-0.1976441	-0.4832973	2.889451	0.5397044	-0.6546718	2.920859	0.5808594	-0.6097209	2.894111
