p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
17	1.135473	-1.135255	3.676407	1.137072	-0.8562605	3.628174	1.138611	-0.5788013	3.570078	1.155824	-0.4578975	3.536584	0.970793	-0.6338311	3.614996	0.8742694	-0.8406758	3.604968	1.035408	-0.7754104	3.4414	1.092228	-0.724151	3.395853	1.332633	-0.6609433	3.560262	1.484882	-0.8081216	3.614204	1.388273	-0.9691305	3.634833	1.333236	-0.9777285	3.605709	1.056455	-1.121881	3.659201	0.9686131	-1.449083	3.703451	0.881205	-1.740906	3.767136	0.8624274	-1.793503	3.6536	1.195379	-1.129014	3.630357	1.180118	-1.404215	3.69988	1.146087	-1.759621	3.894281	1.122328	-1.809779	3.776816	1.138723	-0.6479897	3.586502	1.127068	-0.6959836	3.370095	1.106847	-0.7379641	3.391668	1.309276	-1.051414	3.596185	1.295565	-0.9538621	3.567642
17	0.8476838	-1.103714	3.689218	0.8815102	-0.7962955	3.65698	0.9117814	-0.4910324	3.611167	0.9126904	-0.3553722	3.654339	0.8297356	-0.6102222	3.775795	0.7859094	-0.8547538	3.816187	0.7567701	-1.105359	3.755044	0.7487358	-1.173201	3.740851	0.9456007	-0.613539	3.500169	1.034132	-0.7833837	3.328195	1.004461	-0.9635234	3.436741	0.963925	-1.002133	3.500306	0.812897	-1.092315	3.713146	0.8025649	-1.39569	3.820116	0.899781	-1.779518	3.714786	0.880763	-1.858115	3.693699	0.8677235	-1.096487	3.598869	0.8613651	-1.435748	3.621076	0.9165926	-1.747763	3.677588	0.8089697	-1.777281	3.614505	0.9049019	-0.5671398	3.62496	0.755231	-1.239156	3.729279	0.7193408	-1.172668	3.733559	0.9552095	-1.075	3.534608	0.9442152	-0.960844	3.512098
17	0.847528	-1.104571	3.680733	0.8795515	-0.7967351	3.647715	0.9077579	-0.4909297	3.601479	0.9089858	-0.3549762	3.642653	0.8281694	-0.6108932	3.771613	0.7844018	-0.8559332	3.811293	0.7552711	-1.1065	3.75013	0.7473126	-1.171939	3.734851	0.9429365	-0.6140267	3.493862	1.032121	-0.7855015	3.322085	1.003094	-0.9643543	3.434159	0.9619566	-1.002916	3.497232	0.8124385	-1.093429	3.705202	0.8037221	-1.398453	3.817897	0.9011779	-1.781736	3.713331	0.91995	-1.877722	3.711792	0.8678492	-1.096809	3.590437	0.8632267	-1.434372	3.615597	0.9174643	-1.747475	3.676409	0.812269	-1.77753	3.613347	0.9014045	-0.567188	3.615344	0.7556333	-1.239843	3.724515	0.7182349	-1.171104	3.730167	0.9556116	-1.076911	3.53162	0.942668	-0.9589885	3.508866
17	0.847528	-1.104571	3.680733	0.8795515	-0.7967351	3.647715	0.9077579	-0.4909297	3.601479	0.9089858	-0.3549762	3.642653	0.8281694	-0.6108932	3.771613	0.7844018	-0.8559332	3.811293	0.7552711	-1.1065	3.75013	0.7473126	-1.171939	3.734851	0.9429365	-0.6140267	3.493862	1.032121	-0.7855015	3.322085	1.003094	-0.9643543	3.434159	0.9619566	-1.002916	3.497232	0.8124385	-1.093429	3.705202	0.8037221	-1.398453	3.817897	0.9011779	-1.781736	3.713331	0.91995	-1.877722	3.711792	0.8678492	-1.096809	3.590437	0.8632267	-1.434372	3.615597	0.9174643	-1.747475	3.676409	0.812269	-1.77753	3.613347	0.9014045	-0.567188	3.615344	0.7556333	-1.239843	3.724515	0.7182349	-1.171104	3.730167	0.9556116	-1.076911	3.53162	0.942668	-0.9589885	3.508866
17	0.8468241	-1.104618	3.671997	0.8776995	-0.7966864	3.639224	0.904779	-0.4906978	3.593639	0.9057015	-0.3541577	3.63374	0.8266178	-0.6102139	3.76626	0.782791	-0.8562557	3.805427	0.7536681	-1.106793	3.744249	0.7459646	-1.170461	3.730125	0.9406014	-0.6143803	3.488076	1.027829	-0.7817178	3.315519	1.001457	-0.9653576	3.43093	0.9593866	-1.003734	3.493585	0.8113477	-1.093175	3.695971	0.8049693	-1.40058	3.816443	0.9025652	-1.783633	3.712265	0.9402457	-1.885311	3.720082	0.8674924	-1.096842	3.582652	0.8769599	-1.465699	3.610904	0.9220968	-1.752987	3.675901	0.8252332	-1.792712	3.616189	0.8986926	-0.5670131	3.607316	0.7555298	-1.221575	3.718293	0.7140645	-1.162179	3.728023	0.9561213	-1.079553	3.526621	0.9418577	-0.9574835	3.505977
17	0.8468241	-1.104618	3.671997	0.8776995	-0.7966864	3.639224	0.904779	-0.4906978	3.593639	0.9057015	-0.3541577	3.63374	0.8266178	-0.6102139	3.76626	0.782791	-0.8562557	3.805427	0.7536681	-1.106793	3.744249	0.7459646	-1.170461	3.730125	0.9406014	-0.6143803	3.488076	1.027829	-0.7817178	3.315519	1.001457	-0.9653576	3.43093	0.9593866	-1.003734	3.493585	0.8113477	-1.093175	3.695971	0.8049693	-1.40058	3.816443	0.9025652	-1.783633	3.712265	0.9402457	-1.885311	3.720082	0.8674924	-1.096842	3.582652	0.8769599	-1.465699	3.610904	0.9220968	-1.752987	3.675901	0.8252332	-1.792712	3.616189	0.8986926	-0.5670131	3.607316	0.7555298	-1.221575	3.718293	0.7140645	-1.162179	3.728023	0.9561213	-1.079553	3.526621	0.9418577	-0.9574835	3.505977
17	0.8459443	-1.104421	3.665467	0.876093	-0.7967325	3.632638	0.9024231	-0.4910021	3.587163	0.9028771	-0.3538938	3.626609	0.8254764	-0.6086071	3.760522	0.7813982	-0.8559066	3.799307	0.7522815	-1.106424	3.738121	0.7450544	-1.169509	3.725742	0.9381779	-0.6147226	3.481776	1.024312	-0.7783226	3.310368	0.9986659	-0.966719	3.425772	0.9559147	-1.004406	3.487919	0.8104282	-1.092925	3.689881	0.8059341	-1.401976	3.81534	0.9036809	-1.785044	3.711401	0.9483347	-1.886341	3.722264	0.866586	-1.096415	3.575713	0.885097	-1.449633	3.598054	0.9245155	-1.752627	3.674419	0.8296583	-1.792204	3.615348	0.8965156	-0.5672515	3.600802	0.756191	-1.223381	3.711676	0.7127364	-1.159698	3.726336	0.9552093	-1.082091	3.520802	0.9371751	-0.9546493	3.498684
17	0.8459443	-1.104421	3.665467	0.876093	-0.7967325	3.632638	0.9024231	-0.4910021	3.587163	0.9028771	-0.3538938	3.626609	0.8254764	-0.6086071	3.760522	0.7813982	-0.8559066	3.799307	0.7522815	-1.106424	3.738121	0.7450544	-1.169509	3.725742	0.9381779	-0.6147226	3.481776	1.024312	-0.7783226	3.310368	0.9986659	-0.966719	3.425772	0.9559147	-1.004406	3.487919	0.8104282	-1.092925	3.689881	0.8059341	-1.401976	3.81534	0.9036809	-1.785044	3.711401	0.9483347	-1.886341	3.722264	0.866586	-1.096415	3.575713	0.885097	-1.449633	3.598054	0.9245155	-1.752627	3.674419	0.8296583	-1.792204	3.615348	0.8965156	-0.5672515	3.600802	0.756191	-1.223381	3.711676	0.7127364	-1.159698	3.726336	0.9552093	-1.082091	3.520802	0.9371751	-0.9546493	3.498684
17	0.8445176	-1.10358	3.657483	0.8743827	-0.7965423	3.625264	0.900441	-0.4913456	3.580564	0.900732	-0.3537211	3.620402	0.8246455	-0.6067875	3.755559	0.7802265	-0.8552049	3.793796	0.7511147	-1.105712	3.732608	0.7440426	-1.168145	3.719905	0.9355004	-0.6161546	3.472802	1.021201	-0.7747266	3.305501	0.9947716	-0.9677722	3.417463	0.9520916	-1.004486	3.480656	0.8089383	-1.091424	3.680826	0.8067356	-1.402913	3.814482	0.9046028	-1.786106	3.710668	0.8741169	-1.854052	3.686399	0.8652564	-1.095868	3.568806	0.8889332	-1.439274	3.591304	0.9275081	-1.751417	3.672579	0.8338813	-1.789618	3.6142	0.8945926	-0.5674738	3.594004	0.7595554	-1.226117	3.703305	0.7163494	-1.166683	3.720325	0.9491197	-1.086038	3.510779	0.9273268	-0.9532573	3.483555
17	0.8445176	-1.10358	3.657483	0.8743827	-0.7965423	3.625264	0.900441	-0.4913456	3.580564	0.900732	-0.3537211	3.620402	0.8246455	-0.6067875	3.755559	0.7802265	-0.8552049	3.793796	0.7511147	-1.105712	3.732608	0.7440426	-1.168145	3.719905	0.9355004	-0.6161546	3.472802	1.021201	-0.7747266	3.305501	0.9947716	-0.9677722	3.417463	0.9520916	-1.004486	3.480656	0.8089383	-1.091424	3.680826	0.8067356	-1.402913	3.814482	0.9046028	-1.786106	3.710668	0.8741169	-1.854052	3.686399	0.8652564	-1.095868	3.568806	0.8889332	-1.439274	3.591304	0.9275081	-1.751417	3.672579	0.8338813	-1.789618	3.6142	0.8945926	-0.5674738	3.594004	0.7595554	-1.226117	3.703305	0.7163494	-1.166683	3.720325	0.9491197	-1.086038	3.510779	0.9273268	-0.9532573	3.483555
