p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
1	0.8225552	-1.163305	1.796389	0.8210834	-0.9178352	1.701275	0.8122607	-0.6742362	1.592368	0.7664846	-0.545678	1.562282	0.7417672	-0.7637507	1.762369	0.5417411	-0.8622945	1.82371	0.5560238	-0.9872141	1.663314	0.6136672	-1.027057	1.632909	0.9078577	-0.6816542	1.562169	0.8107319	-0.9120204	1.538979	0.8801988	-1.100323	1.57104	0.8658963	-1.183388	1.558454	0.7680908	-1.154202	1.831618	0.544018	-0.8167253	1.884972	0.6782475	-1.160118	2.039502	0.6692819	-1.002996	1.964196	0.8523074	-1.137788	1.703305	0.9577721	-1.510092	1.840607	1.051746	-1.896442	1.972868	0.9636232	-1.951885	1.908648	0.8157709	-0.7351928	1.623346	0.6123888	-1.022359	1.628601	0.5878603	-1.004153	1.592373	0.8633766	-1.213287	1.59659	0.8986131	-1.175419	1.519292
1	0.6381714	-0.6797289	2.539685	0.6305755	-0.4306903	2.434873	0.6193408	-0.1840095	2.318227	0.5620435	-0.06158314	2.272353	0.5516994	-0.2936738	2.479567	0.5557361	-0.4817003	2.58523	0.6300623	-0.654438	2.71746	0.6555327	-0.7126098	2.76489	0.7142138	-0.2653799	2.27502	0.7553517	-0.4976201	2.281521	0.7960765	-0.6428873	2.425164	0.7894435	-0.6718673	2.4677	0.5850836	-0.6610939	2.553846	0.4995914	-0.8164127	2.762634	0.4887418	-1.127733	2.706143	0.4147546	-1.196838	2.767155	0.6760416	-0.6823805	2.465969	0.5371412	-0.9214615	2.588209	0.7056825	-1.180015	2.902148	0.623983	-1.236898	2.826892	0.6227791	-0.2454015	2.349536	0.6520013	-0.7195508	2.750891	0.6516272	-0.7144772	2.738898	0.7933342	-0.7157841	2.523574	0.8106465	-0.6784921	2.45473
1	0.6286679	-0.6802155	2.540023	0.6207502	-0.4301901	2.435537	0.6091864	-0.1824813	2.31918	0.5540224	-0.06117659	2.274835	0.5482222	-0.2925045	2.480386	0.5502854	-0.4835065	2.588212	0.6246426	-0.6562307	2.720434	0.6501145	-0.714401	2.767863	0.7048572	-0.2654387	2.275678	0.7427846	-0.4975154	2.277359	0.7802569	-0.6401142	2.419028	0.774936	-0.6734279	2.463316	0.5773758	-0.6610552	2.554988	0.4895496	-0.8185375	2.763754	0.4774262	-1.143448	2.741858	0.3996659	-1.205521	2.792418	0.6645631	-0.683717	2.465154	0.533549	-0.9225112	2.58893	0.6799693	-1.200529	2.893708	0.6088594	-1.248219	2.824564	0.6126843	-0.2441235	2.350408	0.6465915	-0.7213403	2.753857	0.6462446	-0.7162587	2.741875	0.7834665	-0.7178859	2.522135	0.7959422	-0.6826383	2.451894
1	0.6286679	-0.6802155	2.540023	0.6207502	-0.4301901	2.435537	0.6091864	-0.1824813	2.31918	0.5540224	-0.06117659	2.274835	0.5482222	-0.2925045	2.480386	0.5502854	-0.4835065	2.588212	0.6246426	-0.6562307	2.720434	0.6501145	-0.714401	2.767863	0.7048572	-0.2654387	2.275678	0.7427846	-0.4975154	2.277359	0.7802569	-0.6401142	2.419028	0.774936	-0.6734279	2.463316	0.5773758	-0.6610552	2.554988	0.4895496	-0.8185375	2.763754	0.4774262	-1.143448	2.741858	0.3996659	-1.205521	2.792418	0.6645631	-0.683717	2.465154	0.533549	-0.9225112	2.58893	0.6799693	-1.200529	2.893708	0.6088594	-1.248219	2.824564	0.6126843	-0.2441235	2.350408	0.6465915	-0.7213403	2.753857	0.6462446	-0.7162587	2.741875	0.7834665	-0.7178859	2.522135	0.7959422	-0.6826383	2.451894
1	0.6138442	-0.6805093	2.539944	0.6086582	-0.4297609	2.435673	0.599273	-0.1814182	2.319584	0.544595	-0.06097501	2.277006	0.5401092	-0.2889854	2.480085	0.5429102	-0.4850447	2.59053	0.6172401	-0.6579753	2.722889	0.6426889	-0.7162187	2.770367	0.6935182	-0.2653383	2.275963	0.7312766	-0.4988854	2.275107	0.7662308	-0.6392935	2.415142	0.7614995	-0.6760879	2.461771	0.5625198	-0.6609141	2.555684	0.4797655	-0.8219751	2.76399	0.4708357	-1.145248	2.75521	0.3926873	-1.207514	2.80319	0.6506749	-0.6845014	2.464251	0.5319737	-0.9244781	2.58894	0.6701881	-1.212069	2.890686	0.5917595	-1.26796	2.825336	0.6022663	-0.2432009	2.350734	0.6391876	-0.7231546	2.756353	0.6388797	-0.7180637	2.744381	0.7727039	-0.7193114	2.521281	0.7812805	-0.6848448	2.447993
1	0.6138442	-0.6805093	2.539944	0.6086582	-0.4297609	2.435673	0.599273	-0.1814182	2.319584	0.544595	-0.06097501	2.277006	0.5401092	-0.2889854	2.480085	0.5429102	-0.4850447	2.59053	0.6172401	-0.6579753	2.722889	0.6426889	-0.7162187	2.770367	0.6935182	-0.2653383	2.275963	0.7312766	-0.4988854	2.275107	0.7662308	-0.6392935	2.415142	0.7614995	-0.6760879	2.461771	0.5625198	-0.6609141	2.555684	0.4797655	-0.8219751	2.76399	0.4708357	-1.145248	2.75521	0.3926873	-1.207514	2.80319	0.6506749	-0.6845014	2.464251	0.5319737	-0.9244781	2.58894	0.6701881	-1.212069	2.890686	0.5917595	-1.26796	2.825336	0.6022663	-0.2432009	2.350734	0.6391876	-0.7231546	2.756353	0.6388797	-0.7180637	2.744381	0.7727039	-0.7193114	2.521281	0.7812805	-0.6848448	2.447993
1	0.5934941	-0.6823915	2.541572	0.5955608	-0.4295291	2.435899	0.5905277	-0.18021	2.319446	0.5349066	-0.06083383	2.278729	0.5285752	-0.2880848	2.478646	0.5319662	-0.4884323	2.591737	0.606119	-0.6621355	2.724549	0.6314786	-0.720656	2.772184	0.6796981	-0.2657404	2.276313	0.7192222	-0.5011316	2.274077	0.752581	-0.6395232	2.412569	0.746163	-0.6789356	2.460335	0.5422949	-0.6633078	2.557195	0.5094756	-0.9409394	2.61447	0.479564	-1.191487	2.782381	0.3931097	-1.242681	2.828464	0.6309438	-0.6857734	2.465957	0.5643282	-0.9421657	2.585063	0.6818075	-1.233005	2.892679	0.5994555	-1.291062	2.830461	0.5926502	-0.242165	2.350623	0.6280199	-0.7275741	2.758162	0.6277731	-0.7224566	2.746201	0.7614636	-0.7203896	2.520282	0.7736812	-0.6869776	2.446612
1	0.5934941	-0.6823915	2.541572	0.5955608	-0.4295291	2.435899	0.5905277	-0.18021	2.319446	0.5349066	-0.06083383	2.278729	0.5285752	-0.2880848	2.478646	0.5319662	-0.4884323	2.591737	0.606119	-0.6621355	2.724549	0.6314786	-0.720656	2.772184	0.6796981	-0.2657404	2.276313	0.7192222	-0.5011316	2.274077	0.752581	-0.6395232	2.412569	0.746163	-0.6789356	2.460335	0.5422949	-0.6633078	2.557195	0.5094756	-0.9409394	2.61447	0.479564	-1.191487	2.782381	0.3931097	-1.242681	2.828464	0.6309438	-0.6857734	2.465957	0.5643282	-0.9421657	2.585063	0.6818075	-1.233005	2.892679	0.5994555	-1.291062	2.830461	0.5926502	-0.242165	2.350623	0.6280199	-0.7275741	2.758162	0.6277731	-0.7224566	2.746201	0.7614636	-0.7203896	2.520282	0.7736812	-0.6869776	2.446612
1	0.5819855	-0.6834785	2.542143	0.5854167	-0.4293299	2.435972	0.5821002	-0.1788963	2.319371	0.523447	-0.06111328	2.280204	0.5177132	-0.2876527	2.476339	0.5216764	-0.4912052	2.591709	0.5958029	-0.6656026	2.724946	0.6211317	-0.7243644	2.772723	0.6672477	-0.2661454	2.276875	0.7019799	-0.5030828	2.273576	0.7358098	-0.6399016	2.410642	0.7131495	-0.6829435	2.459006	0.5304533	-0.6647578	2.55776	0.5122784	-0.971253	2.578571	0.4529775	-1.266959	2.852988	0.3577221	-1.304514	2.898659	0.6200453	-0.6864628	2.466529	0.6730188	-0.9392356	2.719527	0.7194127	-1.234745	2.901625	0.6338808	-1.294743	2.841279	0.5837671	-0.241099	2.350554	0.6177083	-0.7312688	2.758697	0.6175088	-0.7261318	2.746746	0.7469502	-0.7248521	2.521324	0.7585872	-0.6909679	2.447913
1	0.5819855	-0.6834785	2.542143	0.5854167	-0.4293299	2.435972	0.5821002	-0.1788963	2.319371	0.523447	-0.06111328	2.280204	0.5177132	-0.2876527	2.476339	0.5216764	-0.4912052	2.591709	0.5958029	-0.6656026	2.724946	0.6211317	-0.7243644	2.772723	0.6672477	-0.2661454	2.276875	0.7019799	-0.5030828	2.273576	0.7358098	-0.6399016	2.410642	0.7131495	-0.6829435	2.459006	0.5304533	-0.6647578	2.55776	0.5122784	-0.971253	2.578571	0.4529775	-1.266959	2.852988	0.3577221	-1.304514	2.898659	0.6200453	-0.6864628	2.466529	0.6730188	-0.9392356	2.719527	0.7194127	-1.234745	2.901625	0.6338808	-1.294743	2.841279	0.5837671	-0.241099	2.350554	0.6177083	-0.7312688	2.758697	0.6175088	-0.7261318	2.746746	0.7469502	-0.7248521	2.521324	0.7585872	-0.6909679	2.447913
