p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
16	0.1294213	-1.392735	2.491067	0.08993382	-1.145276	2.460448	0.05884446	-0.8950193	2.435523	0.07165939	-0.7832062	2.400006	-0.07487684	-0.9594048	2.39635	-0.07793418	-1.167841	2.334996	0.144366	-1.225548	2.324651	0.1732364	-1.227784	2.392074	0.262628	-0.9556504	2.505759	0.3350237	-1.167629	2.4518	0.3508097	-1.349098	2.312673	0.342324	-1.342546	2.319282	0.03893516	-1.389044	2.435795	0.1003359	-1.743872	2.404394	0.167238	-2.109909	2.402879	0.1952526	-2.152951	2.290097	0.2143712	-1.364223	2.488776	0.2000824	-1.722805	2.423724	0.2201533	-2.098629	2.380722	0.2479637	-2.141628	2.268522	0.06543046	-0.958109	2.442648	0.2070818	-1.25058	2.396791	0.1930445	-1.204262	2.374681	0.3432773	-1.346468	2.307077	0.3150094	-1.333044	2.316145
16	0.7692354	-1.300523	3.175031	0.7632402	-1.008298	3.118948	0.760494	-0.7196302	3.051765	0.8260586	-0.6156248	3.006901	0.6234387	-0.8067677	2.997114	0.5459586	-1.052066	2.95218	0.4975623	-1.265623	2.929303	0.4613424	-1.339542	2.943278	0.972202	-0.8580722	3.166719	1.064966	-1.08356	3.248826	1.20987	-1.258068	3.193431	1.222826	-1.265334	3.176331	0.6879495	-1.287756	3.117095	0.631038	-1.555177	3.231368	0.5795367	-1.898983	3.460559	0.5493048	-1.957888	3.403438	0.8426206	-1.292923	3.174305	0.9020061	-1.581875	3.225213	0.9425602	-1.891493	3.373035	0.9567409	-1.981337	3.305042	0.7614524	-0.7918876	3.071064	0.4315901	-1.399028	2.960761	0.4275584	-1.324162	2.916814	1.253667	-1.313452	3.157156	1.21058	-1.305889	3.185086
16	0.7692354	-1.300523	3.175031	0.7632402	-1.008298	3.118948	0.760494	-0.7196302	3.051765	0.8260586	-0.6156248	3.006901	0.6234387	-0.8067677	2.997114	0.5459586	-1.052066	2.95218	0.4975623	-1.265623	2.929303	0.4613424	-1.339542	2.943278	0.972202	-0.8580722	3.166719	1.064966	-1.08356	3.248826	1.20987	-1.258068	3.193431	1.222826	-1.265334	3.176331	0.6879495	-1.287756	3.117095	0.631038	-1.555177	3.231368	0.5795367	-1.898983	3.460559	0.5493048	-1.957888	3.403438	0.8426206	-1.292923	3.174305	0.9020061	-1.581875	3.225213	0.9425602	-1.891493	3.373035	0.9567409	-1.981337	3.305042	0.7614524	-0.7918876	3.071064	0.4315901	-1.399028	2.960761	0.4275584	-1.324162	2.916814	1.253667	-1.313452	3.157156	1.21058	-1.305889	3.185086
16	0.7692354	-1.300523	3.175031	0.7632402	-1.008298	3.118948	0.760494	-0.7196302	3.051765	0.8260586	-0.6156248	3.006901	0.6234387	-0.8067677	2.997114	0.5459586	-1.052066	2.95218	0.4975623	-1.265623	2.929303	0.4613424	-1.339542	2.943278	0.972202	-0.8580722	3.166719	1.064966	-1.08356	3.248826	1.20987	-1.258068	3.193431	1.222826	-1.265334	3.176331	0.6879495	-1.287756	3.117095	0.631038	-1.555177	3.231368	0.5795367	-1.898983	3.460559	0.5493048	-1.957888	3.403438	0.8426206	-1.292923	3.174305	0.9020061	-1.581875	3.225213	0.9425602	-1.891493	3.373035	0.9567409	-1.981337	3.305042	0.7614524	-0.7918876	3.071064	0.4315901	-1.399028	2.960761	0.4275584	-1.324162	2.916814	1.253667	-1.313452	3.157156	1.21058	-1.305889	3.185086
16	0.9036579	-1.228433	3.339642	0.9205773	-0.9494174	3.28126	0.9330223	-0.6712104	3.209254	0.9336992	-0.5464364	3.192579	0.7430148	-0.74799	3.270691	0.6849061	-0.9544773	3.232543	0.5017174	-0.8496939	3.176677	0.4375905	-0.8174914	3.157694	1.065272	-0.7576709	3.144509	1.031251	-0.9632884	3.063688	0.8219179	-1.011751	3.121034	0.810288	-1.043132	3.201597	0.8201389	-1.214297	3.340436	0.7479949	-1.512706	3.37694	0.6822286	-1.857116	3.496571	0.6593414	-1.937496	3.444146	0.9671237	-1.219704	3.272709	0.9848345	-1.504418	3.356599	0.9847089	-1.874665	3.570504	0.9503636	-1.933472	3.475941	0.9306335	-0.7407684	3.229432	0.4480037	-0.8139837	3.145119	0.4424701	-0.8112922	3.134612	0.7725491	-1.033924	3.209784	0.7527575	-0.9849899	3.160042
16	0.8961451	-1.227795	3.337137	0.9123222	-0.9493642	3.277338	0.9247181	-0.6718732	3.204864	0.9287707	-0.5462516	3.18788	0.734497	-0.7475354	3.263246	0.6760796	-0.9546319	3.22219	0.4931407	-0.8504364	3.166456	0.4294639	-0.8182266	3.148174	1.061637	-0.7573031	3.144241	1.030435	-0.963514	3.064254	0.8215288	-1.012194	3.121759	0.795782	-1.040278	3.189569	0.8111473	-1.213344	3.334843	0.7391998	-1.515782	3.370481	0.6800693	-1.859673	3.49689	0.6549655	-1.937556	3.441076	0.9621708	-1.219509	3.273531	0.9831721	-1.500837	3.365631	0.9811619	-1.843952	3.573783	0.9613197	-1.914399	3.503395	0.9222942	-0.7412486	3.225104	0.4398912	-0.814714	3.135591	0.4343737	-0.8120154	3.125075	0.7266493	-1.015235	3.187838	0.7432598	-0.9781827	3.145238
16	0.8961451	-1.227795	3.337137	0.9123222	-0.9493642	3.277338	0.9247181	-0.6718732	3.204864	0.9287707	-0.5462516	3.18788	0.734497	-0.7475354	3.263246	0.6760796	-0.9546319	3.22219	0.4931407	-0.8504364	3.166456	0.4294639	-0.8182266	3.148174	1.061637	-0.7573031	3.144241	1.030435	-0.963514	3.064254	0.8215288	-1.012194	3.121759	0.795782	-1.040278	3.189569	0.8111473	-1.213344	3.334843	0.7391998	-1.515782	3.370481	0.6800693	-1.859673	3.49689	0.6549655	-1.937556	3.441076	0.9621708	-1.219509	3.273531	0.9831721	-1.500837	3.365631	0.9811619	-1.843952	3.573783	0.9613197	-1.914399	3.503395	0.9222942	-0.7412486	3.225104	0.4398912	-0.814714	3.135591	0.4343737	-0.8120154	3.125075	0.7266493	-1.015235	3.187838	0.7432598	-0.9781827	3.145238
16	0.8961451	-1.227795	3.337137	0.9123222	-0.9493642	3.277338	0.9247181	-0.6718732	3.204864	0.9287707	-0.5462516	3.18788	0.734497	-0.7475354	3.263246	0.6760796	-0.9546319	3.22219	0.4931407	-0.8504364	3.166456	0.4294639	-0.8182266	3.148174	1.061637	-0.7573031	3.144241	1.030435	-0.963514	3.064254	0.8215288	-1.012194	3.121759	0.795782	-1.040278	3.189569	0.8111473	-1.213344	3.334843	0.7391998	-1.515782	3.370481	0.6800693	-1.859673	3.49689	0.6549655	-1.937556	3.441076	0.9621708	-1.219509	3.273531	0.9831721	-1.500837	3.365631	0.9811619	-1.843952	3.573783	0.9613197	-1.914399	3.503395	0.9222942	-0.7412486	3.225104	0.4398912	-0.814714	3.135591	0.4343737	-0.8120154	3.125075	0.7266493	-1.015235	3.187838	0.7432598	-0.9781827	3.145238
16	0.8866118	-1.227425	3.334137	0.9030005	-0.9497183	3.273431	0.9159973	-0.6729272	3.200828	0.9218238	-0.5469166	3.182634	0.7251928	-0.7469121	3.255508	0.6689717	-0.9551014	3.214185	0.4838587	-0.8534183	3.156459	0.4199544	-0.8218263	3.13818	1.057516	-0.7571998	3.144294	1.029637	-0.9638618	3.064919	0.822279	-1.039156	3.06778	0.7634797	-1.075095	3.063423	0.800529	-1.212752	3.328503	0.7305616	-1.517778	3.36309	0.6781262	-1.861416	3.497131	0.6528864	-1.938187	3.440169	0.9548135	-1.219509	3.27456	0.9809172	-1.497961	3.372736	0.9794232	-1.831563	3.575051	0.9657475	-1.906551	3.514048	0.9133976	-0.7421333	3.221066	0.4304051	-0.8182992	3.125596	0.4249159	-0.8155805	3.115082	0.6806728	-1.035647	3.077498	0.7209943	-1.005038	3.035979
16	0.875396	-1.22724	3.330202	0.8919246	-0.9500299	3.269574	0.9050381	-0.6737068	3.197543	0.9133655	-0.5477144	3.177663	0.7160008	-0.7464703	3.247816	0.6619976	-0.9556451	3.203272	0.4732085	-0.859284	3.14326	0.4082738	-0.8295503	3.124218	1.051421	-0.7571464	3.145335	1.027635	-0.9642562	3.066078	0.8224625	-1.062398	3.029247	0.750589	-1.096684	3.010369	0.7872517	-1.21227	3.320293	0.722928	-1.518912	3.355618	0.6760023	-1.862899	3.497078	0.6510249	-1.938904	3.439584	0.946445	-1.219672	3.275186	0.9776492	-1.495626	3.378188	0.9781522	-1.825269	3.576314	0.9682341	-1.902575	3.519343	0.9024111	-0.7427979	3.21762	0.4187567	-0.8259903	3.111645	0.4133074	-0.823227	3.101146	0.6570571	-1.056757	3.006568	0.7101412	-1.029695	2.966671
