p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
12	0.1553632	-1.197836	3.034502	0.1188245	-0.9303036	2.939945	0.08398992	-0.6625938	2.833469	0.1167981	-0.5442656	2.813252	-0.02021858	-0.7532934	2.789121	-0.09005017	-0.9773239	2.830854	-0.003655279	-1.133049	2.845024	0.02642711	-1.158194	2.860524	0.2245939	-0.7208675	2.935651	0.2437742	-0.9359361	3.033257	0.2896121	-1.084044	3.11919	0.3051178	-1.083681	3.167584	0.09707552	-1.189526	2.977227	0.05475129	-1.43749	3.037522	0.04860713	-1.805537	3.248574	0.06807428	-1.869889	3.229559	0.2105707	-1.181479	3.028879	0.2758842	-1.469668	3.106137	0.347504	-1.779314	3.226774	0.3867472	-1.827061	3.142985	0.09248336	-0.7296324	2.862337	0.05696217	-1.208329	2.875349	0.03934793	-1.145939	2.855737	0.3044336	-1.085198	3.159959	0.3025804	-1.076471	3.147364
12	0.1775801	-1.201082	2.964267	0.1972023	-0.9370971	2.884283	0.2191564	-0.6717898	2.793371	0.1913479	-0.5542603	2.772645	0.07304214	-0.7354456	2.903875	0.05510463	-0.9482371	3.004504	0.02640469	-1.124813	2.966947	0.04587461	-1.14839	2.945271	0.3349727	-0.7572471	2.752956	0.4144899	-0.9747491	2.807468	0.3272519	-1.140377	2.793619	0.2979068	-1.159001	2.814658	0.1151659	-1.188804	2.953722	0.126792	-1.470567	3.058765	0.1611087	-1.79173	3.236658	0.1173325	-1.84213	3.154438	0.2395415	-1.189716	2.907386	0.2813503	-1.426562	2.943819	0.3398423	-1.78477	3.126152	0.2939197	-1.829172	3.017511	0.2137958	-0.7382914	2.818358	0.06089809	-1.199304	2.957194	0.06252778	-1.131127	2.920569	0.3314041	-1.208966	2.854281	0.3345772	-1.145959	2.825771
12	0.1787193	-1.201237	2.963518	0.2001413	-0.9369841	2.88327	0.2228405	-0.6714342	2.792021	0.1947613	-0.5534699	2.772053	0.07893144	-0.7348409	2.907482	0.06073533	-0.9475055	3.008049	0.03197972	-1.123765	2.972996	0.04979944	-1.147117	2.949965	0.3350019	-0.7580387	2.749888	0.4162756	-0.9755067	2.802141	0.3273457	-1.14011	2.79072	0.2961485	-1.161606	2.809742	0.1182795	-1.188652	2.955019	0.1301932	-1.471542	3.060911	0.1631392	-1.793054	3.235457	0.1170276	-1.841847	3.152018	0.2399682	-1.189991	2.905842	0.2813013	-1.426157	2.942416	0.3421304	-1.788814	3.126459	0.2933024	-1.832835	3.02095	0.2173343	-0.7379873	2.817096	0.06409514	-1.198893	2.959588	0.06515512	-1.130386	2.924134	0.2986128	-1.225743	2.832673	0.3262712	-1.16657	2.816417
12	0.1787193	-1.201237	2.963518	0.2001413	-0.9369841	2.88327	0.2228405	-0.6714342	2.792021	0.1947613	-0.5534699	2.772053	0.07893144	-0.7348409	2.907482	0.06073533	-0.9475055	3.008049	0.03197972	-1.123765	2.972996	0.04979944	-1.147117	2.949965	0.3350019	-0.7580387	2.749888	0.4162756	-0.9755067	2.802141	0.3273457	-1.14011	2.79072	0.2961485	-1.161606	2.809742	0.1182795	-1.188652	2.955019	0.1301932	-1.471542	3.060911	0.1631392	-1.793054	3.235457	0.1170276	-1.841847	3.152018	0.2399682	-1.189991	2.905842	0.2813013	-1.426157	2.942416	0.3421304	-1.788814	3.126459	0.2933024	-1.832835	3.02095	0.2173343	-0.7379873	2.817096	0.06409514	-1.198893	2.959588	0.06515512	-1.130386	2.924134	0.2986128	-1.225743	2.832673	0.3262712	-1.16657	2.816417
12	0.1799008	-1.20137	2.962871	0.2028651	-0.9368096	2.88246	0.2263138	-0.6709856	2.790945	0.1981282	-0.5525875	2.771666	0.08448981	-0.7337655	2.909961	0.0664706	-0.9462602	3.010689	0.03779095	-1.122236	2.978452	0.05352309	-1.145854	2.953379	0.3351005	-0.7587975	2.747253	0.4176283	-0.9762673	2.797749	0.3297333	-1.139789	2.786064	0.2966807	-1.161241	2.806076	0.1212095	-1.188452	2.95631	0.1338535	-1.472345	3.06314	0.1653711	-1.79491	3.234102	0.1406022	-1.857652	3.176742	0.2404047	-1.190238	2.904434	0.2808907	-1.424229	2.939722	0.3422055	-1.792525	3.126507	0.2906709	-1.836621	3.023969	0.2206467	-0.7376001	2.816087	0.06768632	-1.197819	2.960404	0.06955907	-1.128073	2.928655	0.2905091	-1.207538	2.808572	0.3225175	-1.170018	2.808154
12	0.1799008	-1.20137	2.962871	0.2028651	-0.9368096	2.88246	0.2263138	-0.6709856	2.790945	0.1981282	-0.5525875	2.771666	0.08448981	-0.7337655	2.909961	0.0664706	-0.9462602	3.010689	0.03779095	-1.122236	2.978452	0.05352309	-1.145854	2.953379	0.3351005	-0.7587975	2.747253	0.4176283	-0.9762673	2.797749	0.3297333	-1.139789	2.786064	0.2966807	-1.161241	2.806076	0.1212095	-1.188452	2.95631	0.1338535	-1.472345	3.06314	0.1653711	-1.79491	3.234102	0.1406022	-1.857652	3.176742	0.2404047	-1.190238	2.904434	0.2808907	-1.424229	2.939722	0.3422055	-1.792525	3.126507	0.2906709	-1.836621	3.023969	0.2206467	-0.7376001	2.816087	0.06768632	-1.197819	2.960404	0.06955907	-1.128073	2.928655	0.2905091	-1.207538	2.808572	0.3225175	-1.170018	2.808154
12	0.1813941	-1.201532	2.962319	0.2055096	-0.9366866	2.881779	0.2293942	-0.6706762	2.789997	0.201467	-0.5518017	2.771368	0.08983729	-0.732671	2.911255	0.07213902	-0.9447207	3.012682	0.04322547	-1.12054	2.983415	0.05724588	-1.144327	2.957419	0.3353814	-0.7596516	2.744825	0.4186247	-0.9770255	2.794397	0.3291231	-1.139253	2.784281	0.2929724	-1.164681	2.802113	0.1243515	-1.188319	2.957847	0.1385565	-1.473627	3.065745	0.169898	-1.800635	3.234396	0.1413076	-1.859915	3.17445	0.2409667	-1.190478	2.903106	0.2805342	-1.422737	2.937677	0.3419758	-1.795638	3.126668	0.2882149	-1.839764	3.026658	0.2236382	-0.7373285	2.815206	0.07118627	-1.196435	2.962111	0.07290801	-1.126096	2.932429	0.2665287	-1.219202	2.802958	0.3123505	-1.183923	2.797411
12	0.1813941	-1.201532	2.962319	0.2055096	-0.9366866	2.881779	0.2293942	-0.6706762	2.789997	0.201467	-0.5518017	2.771368	0.08983729	-0.732671	2.911255	0.07213902	-0.9447207	3.012682	0.04322547	-1.12054	2.983415	0.05724588	-1.144327	2.957419	0.3353814	-0.7596516	2.744825	0.4186247	-0.9770255	2.794397	0.3291231	-1.139253	2.784281	0.2929724	-1.164681	2.802113	0.1243515	-1.188319	2.957847	0.1385565	-1.473627	3.065745	0.169898	-1.800635	3.234396	0.1413076	-1.859915	3.17445	0.2409667	-1.190478	2.903106	0.2805342	-1.422737	2.937677	0.3419758	-1.795638	3.126668	0.2882149	-1.839764	3.026658	0.2236382	-0.7373285	2.815206	0.07118627	-1.196435	2.962111	0.07290801	-1.126096	2.932429	0.2665287	-1.219202	2.802958	0.3123505	-1.183923	2.797411
12	0.1832787	-1.201698	2.961827	0.2082315	-0.9366429	2.881284	0.2323495	-0.6705734	2.789359	0.2046964	-0.5513357	2.771258	0.09335494	-0.7319648	2.912098	0.07662632	-0.9434687	3.014312	0.0484696	-1.119225	2.987275	0.06138007	-1.142852	2.960688	0.3358123	-0.7604773	2.742738	0.4196279	-0.9781328	2.791179	0.3306219	-1.139509	2.781025	0.2929741	-1.164726	2.799187	0.1273793	-1.188205	2.959293	0.1432931	-1.473918	3.067367	0.1754735	-1.801755	3.230584	0.1734423	-1.864093	3.174497	0.2417453	-1.190708	2.901799	0.2802566	-1.421594	2.936045	0.3400168	-1.798673	3.127342	0.2839351	-1.842743	3.029861	0.2265502	-0.7372307	2.814601	0.07694896	-1.194242	2.962973	0.07817319	-1.124513	2.935801	0.2636086	-1.207255	2.790839	0.3096461	-1.185896	2.793216
12	0.1832787	-1.201698	2.961827	0.2082315	-0.9366429	2.881284	0.2323495	-0.6705734	2.789359	0.2046964	-0.5513357	2.771258	0.09335494	-0.7319648	2.912098	0.07662632	-0.9434687	3.014312	0.0484696	-1.119225	2.987275	0.06138007	-1.142852	2.960688	0.3358123	-0.7604773	2.742738	0.4196279	-0.9781328	2.791179	0.3306219	-1.139509	2.781025	0.2929741	-1.164726	2.799187	0.1273793	-1.188205	2.959293	0.1432931	-1.473918	3.067367	0.1754735	-1.801755	3.230584	0.1734423	-1.864093	3.174497	0.2417453	-1.190708	2.901799	0.2802566	-1.421594	2.936045	0.3400168	-1.798673	3.127342	0.2839351	-1.842743	3.029861	0.2265502	-0.7372307	2.814601	0.07694896	-1.194242	2.962973	0.07817319	-1.124513	2.935801	0.2636086	-1.207255	2.790839	0.3096461	-1.185896	2.793216
