p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
17	0.3373376	-0.1724081	3.428035	0.3728576	0.06522816	3.286705	0.4075338	0.3004651	3.134129	0.3544288	0.4038056	3.067041	0.2364139	0.3049819	3.307917	0.1921606	0.2202906	3.491979	0.2093709	0.05379483	3.40397	0.2374033	0.01490591	3.328133	0.532062	0.2262088	3.140036	0.5188012	0.02131751	3.100631	0.3699711	0.2182759	3.026772	0.3380964	0.3012611	3.019675	0.272859	-0.1558497	3.429418	0.172536	-0.4690798	3.634846	0.0786571	-0.7948649	3.848917	-0.01100287	-0.8778984	3.842588	0.394938	-0.1852628	3.357834	0.4077715	-0.4717462	3.609261	0.3821271	-0.791455	3.88734	0.3284564	-0.8824606	3.853342	0.3991511	0.2421276	3.174515	0.2552857	-0.02871225	3.27199	0.2545631	0.05842493	3.251608	0.2843967	0.3515619	3.011252	0.3604666	0.3405553	3.019284
17	0.07429088	-0.08766206	3.609846	0.08819395	0.1606418	3.45432	0.09854277	0.4015015	3.28609	0.07098486	0.4866937	3.208988	-0.07360578	0.3941165	3.424638	-0.1485086	0.302472	3.596449	-0.08793946	0.1010619	3.496853	-0.02117031	0.1058875	3.427385	0.2414664	0.3212968	3.307261	0.4399784	0.2030841	3.35645	0.3177471	0.1019183	3.445168	0.2522498	0.09236956	3.449029	0.008393882	-0.07738391	3.597534	0.04760875	-0.3609645	3.852652	0.1019649	-0.701485	4.055228	0.05673713	-0.7857845	4.020185	0.1386614	-0.09611867	3.552624	0.2210035	-0.3945088	3.697139	0.3462402	-0.8232292	3.89735	0.3353914	-0.9074582	3.835187	0.09615576	0.3420275	3.330096	0.02333464	0.09106241	3.3738	-0.03597024	0.1786644	3.38526	0.2196511	0.000881913	3.483289	0.2141282	0.1036486	3.394846
17	0.07301334	-0.08729393	3.60936	0.08666312	0.1606431	3.45411	0.09739198	0.401774	3.286605	0.06968164	0.4870046	3.209543	-0.07465784	0.3940705	3.425574	-0.1484016	0.3000255	3.598704	-0.08830129	0.1001709	3.498149	-0.02287858	0.1035622	3.427872	0.2400584	0.3212574	3.307569	0.4378735	0.2024767	3.355242	0.3102387	0.10314	3.442941	0.2466438	0.09166149	3.444923	0.007239214	-0.07708132	3.597267	0.04696829	-0.3607622	3.852276	0.1018139	-0.7012746	4.05487	0.05651651	-0.7858563	4.020054	0.1372163	-0.0957194	3.551861	0.2189694	-0.3895023	3.693989	0.3448474	-0.8199701	3.897322	0.3371665	-0.9044807	3.835349	0.09485649	0.3422228	3.330472	0.02325909	0.08744118	3.373746	-0.03607238	0.1733214	3.385082	0.2156688	0.002920431	3.477801	0.1935076	0.09318912	3.381721
17	0.07301334	-0.08729393	3.60936	0.08666312	0.1606431	3.45411	0.09739198	0.401774	3.286605	0.06968164	0.4870046	3.209543	-0.07465784	0.3940705	3.425574	-0.1484016	0.3000255	3.598704	-0.08830129	0.1001709	3.498149	-0.02287858	0.1035622	3.427872	0.2400584	0.3212574	3.307569	0.4378735	0.2024767	3.355242	0.3102387	0.10314	3.442941	0.2466438	0.09166149	3.444923	0.007239214	-0.07708132	3.597267	0.04696829	-0.3607622	3.852276	0.1018139	-0.7012746	4.05487	0.05651651	-0.7858563	4.020054	0.1372163	-0.0957194	3.551861	0.2189694	-0.3895023	3.693989	0.3448474	-0.8199701	3.897322	0.3371665	-0.9044807	3.835349	0.09485649	0.3422228	3.330472	0.02325909	0.08744118	3.373746	-0.03607238	0.1733214	3.385082	0.2156688	0.002920431	3.477801	0.1935076	0.09318912	3.381721
17	0.07119245	-0.0871053	3.608708	0.08512636	0.1605628	3.453944	0.09637867	0.401949	3.287077	0.06848747	0.4871883	3.210055	-0.07550949	0.3940357	3.42633	-0.1485396	0.298705	3.60032	-0.08871141	0.09959584	3.499316	-0.02416152	0.1019103	3.427728	0.2388045	0.3210479	3.307765	0.4357188	0.2017238	3.353764	0.3072308	0.1027113	3.439127	0.2453703	0.09113853	3.443742	0.005425878	-0.07691173	3.596937	0.04590762	-0.3605833	3.851901	0.1016869	-0.701044	4.05462	0.05620298	-0.7859531	4.019806	0.1353432	-0.0955516	3.550844	0.2177789	-0.386592	3.69215	0.3436156	-0.8212222	3.89672	0.3382609	-0.905649	3.833877	0.09370304	0.3423333	3.330825	0.02291472	0.08586179	3.373228	-0.03651743	0.1710546	3.38472	0.2128534	0.003002153	3.47513	0.1918366	0.09563608	3.378866
17	0.07119245	-0.0871053	3.608708	0.08512636	0.1605628	3.453944	0.09637867	0.401949	3.287077	0.06848747	0.4871883	3.210055	-0.07550949	0.3940357	3.42633	-0.1485396	0.298705	3.60032	-0.08871141	0.09959584	3.499316	-0.02416152	0.1019103	3.427728	0.2388045	0.3210479	3.307765	0.4357188	0.2017238	3.353764	0.3072308	0.1027113	3.439127	0.2453703	0.09113853	3.443742	0.005425878	-0.07691173	3.596937	0.04590762	-0.3605833	3.851901	0.1016869	-0.701044	4.05462	0.05620298	-0.7859531	4.019806	0.1353432	-0.0955516	3.550844	0.2177789	-0.386592	3.69215	0.3436156	-0.8212222	3.89672	0.3382609	-0.905649	3.833877	0.09370304	0.3423333	3.330825	0.02291472	0.08586179	3.373228	-0.03651743	0.1710546	3.38472	0.2128534	0.003002153	3.47513	0.1918366	0.09563608	3.378866
17	0.06966873	-0.08702318	3.608121	0.08364287	0.1605041	3.45367	0.09500784	0.4022888	3.287215	0.06701328	0.4875017	3.210165	-0.0761673	0.3940058	3.426904	-0.1568884	0.3054289	3.605218	-0.1121833	0.1257225	3.510499	-0.06054406	0.1024919	3.471168	0.2376175	0.3207301	3.307845	0.4334286	0.2009006	3.351899	0.3051813	0.102375	3.43649	0.2440906	0.09038951	3.442654	0.003900985	-0.07681865	3.596669	0.04510488	-0.3604815	3.851586	0.1016686	-0.7008254	4.054434	0.06386559	-0.7825961	4.03495	0.1337433	-0.09553486	3.54979	0.2170367	-0.3846081	3.69086	0.3428723	-0.8219866	3.896232	0.3388218	-0.9063858	3.832702	0.09231655	0.3425538	3.330899	-0.03926334	0.05089632	3.434914	-0.05445154	0.146888	3.422344	0.2115532	0.002851454	3.473967	0.1904345	0.09686346	3.377035
17	0.06966873	-0.08702318	3.608121	0.08364287	0.1605041	3.45367	0.09500784	0.4022888	3.287215	0.06701328	0.4875017	3.210165	-0.0761673	0.3940058	3.426904	-0.1568884	0.3054289	3.605218	-0.1121833	0.1257225	3.510499	-0.06054406	0.1024919	3.471168	0.2376175	0.3207301	3.307845	0.4334286	0.2009006	3.351899	0.3051813	0.102375	3.43649	0.2440906	0.09038951	3.442654	0.003900985	-0.07681865	3.596669	0.04510488	-0.3604815	3.851586	0.1016686	-0.7008254	4.054434	0.06386559	-0.7825961	4.03495	0.1337433	-0.09553486	3.54979	0.2170367	-0.3846081	3.69086	0.3428723	-0.8219866	3.896232	0.3388218	-0.9063858	3.832702	0.09231655	0.3425538	3.330899	-0.03926334	0.05089632	3.434914	-0.05445154	0.146888	3.422344	0.2115532	0.002851454	3.473967	0.1904345	0.09686346	3.377035
17	0.06778284	-0.08716772	3.607475	0.08185246	0.1602864	3.453381	0.09351993	0.4024691	3.287326	0.06546475	0.4878486	3.210352	-0.07774583	0.3935891	3.42799	-0.1391724	0.2705678	3.6029	-0.1343212	0.123434	3.500432	-0.09005817	0.07632158	3.509275	0.2364352	0.3203392	3.307786	0.4314853	0.2001495	3.350212	0.2953522	0.09943912	3.436073	0.2348209	0.08451312	3.439672	0.001886565	-0.07692486	3.596349	0.04428577	-0.3604217	3.851319	0.101661	-0.700643	4.054285	0.06415831	-0.7818761	4.037008	0.1319807	-0.09574809	3.54875	0.2185911	-0.3948384	3.698322	0.3420877	-0.8217869	3.895702	0.33921	-0.9062693	3.832092	0.09077097	0.3426265	3.33095	-0.08548053	0.03246023	3.493671	-0.08290915	0.08676877	3.474071	0.2097819	0.001896856	3.4727	0.1763612	0.07509908	3.374907
17	0.06778284	-0.08716772	3.607475	0.08185246	0.1602864	3.453381	0.09351993	0.4024691	3.287326	0.06546475	0.4878486	3.210352	-0.07774583	0.3935891	3.42799	-0.1391724	0.2705678	3.6029	-0.1343212	0.123434	3.500432	-0.09005817	0.07632158	3.509275	0.2364352	0.3203392	3.307786	0.4314853	0.2001495	3.350212	0.2953522	0.09943912	3.436073	0.2348209	0.08451312	3.439672	0.001886565	-0.07692486	3.596349	0.04428577	-0.3604217	3.851319	0.101661	-0.700643	4.054285	0.06415831	-0.7818761	4.037008	0.1319807	-0.09574809	3.54875	0.2185911	-0.3948384	3.698322	0.3420877	-0.8217869	3.895702	0.33921	-0.9062693	3.832092	0.09077097	0.3426265	3.33095	-0.08548053	0.03246023	3.493671	-0.08290915	0.08676877	3.474071	0.2097819	0.001896856	3.4727	0.1763612	0.07509908	3.374907
17	0.06597835	-0.08744349	3.606896	0.08024917	0.1600251	3.453185	0.09222513	0.4025425	3.287527	0.06415242	0.4880779	3.210606	-0.07892768	0.3932053	3.42878	-0.1339966	0.2687754	3.591506	-0.1435918	0.1227735	3.503318	-0.101413	0.06971723	3.523451	0.2350218	0.3196459	3.307596	0.4298172	0.199574	3.348735	0.2945109	0.09826107	3.434301	0.2331364	0.08336148	3.438924	2.683315e-05	-0.07709732	3.59608	0.04351605	-0.360384	3.851118	0.1016665	-0.7004821	4.054171	0.06283563	-0.7816252	4.035403	0.130255	-0.09616735	3.547805	0.2186342	-0.3960935	3.69924	0.3409167	-0.8192009	3.895555	0.3393555	-0.9040988	3.832325	0.08941273	0.3426148	3.331075	-0.1200399	0.01325947	3.545588	-0.09244075	0.0677428	3.490406	0.2082351	0.0007658682	3.471099	0.1835902	0.0818356	3.377903
17	0.06597835	-0.08744349	3.606896	0.08024917	0.1600251	3.453185	0.09222513	0.4025425	3.287527	0.06415242	0.4880779	3.210606	-0.07892768	0.3932053	3.42878	-0.1339966	0.2687754	3.591506	-0.1435918	0.1227735	3.503318	-0.101413	0.06971723	3.523451	0.2350218	0.3196459	3.307596	0.4298172	0.199574	3.348735	0.2945109	0.09826107	3.434301	0.2331364	0.08336148	3.438924	2.683315e-05	-0.07709732	3.59608	0.04351605	-0.360384	3.851118	0.1016665	-0.7004821	4.054171	0.06283563	-0.7816252	4.035403	0.130255	-0.09616735	3.547805	0.2186342	-0.3960935	3.69924	0.3409167	-0.8192009	3.895555	0.3393555	-0.9040988	3.832325	0.08941273	0.3426148	3.331075	-0.1200399	0.01325947	3.545588	-0.09244075	0.0677428	3.490406	0.2082351	0.0007658682	3.471099	0.1835902	0.0818356	3.377903
17	0.06449395	-0.08769813	3.606373	0.07886619	0.1598304	3.452924	0.09106957	0.4026512	3.287556	0.06297206	0.4883907	3.2107	-0.07969056	0.3929703	3.429255	-0.1386081	0.2692683	3.594802	-0.07773727	0.1396188	3.543534	-0.09351483	0.08873139	3.503469	0.233358	0.3189014	3.307256	0.4278494	0.1991316	3.346777	0.2793194	0.09928285	3.434146	0.2267191	0.08192144	3.434791	-0.001469038	-0.07721545	3.595889	0.0426984	-0.3603616	3.85095	0.1017535	-0.7002473	4.054116	0.06071318	-0.7818482	4.031738	0.1286482	-0.09671479	3.546603	0.2185591	-0.3968094	3.699823	0.340094	-0.8171244	3.895411	0.3394056	-0.9020294	3.832083	0.08820785	0.3426461	3.33105	-0.07056414	0.1070814	3.444943	-0.06564423	0.1156687	3.428498	0.2071714	0.002077337	3.470174	0.1722703	0.07397091	3.372547
