p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
38	0.176902	-0.9276702	3.41054	0.1774019	-0.6387544	3.320763	0.1740415	-0.3521925	3.210776	0.181684	-0.213995	3.201715	0.0174679	-0.3930491	3.270014	-0.06208665	-0.6258554	3.424637	-0.03179654	-0.8551886	3.327522	-0.008911815	-0.8829507	3.327521	0.3350093	-0.416081	3.23103	0.4333939	-0.6219818	3.365605	0.3767087	-0.8592631	3.308628	0.3446085	-0.8658714	3.304862	0.1006887	-0.9172935	3.383784	0.06919432	-1.205128	3.525394	0.06023499	-1.558537	3.740001	0.01764607	-1.640239	3.726627	0.2495891	-0.9194497	3.368665	0.2922559	-1.226873	3.486975	0.3050073	-1.587023	3.693789	0.3228107	-1.661182	3.641507	0.1755924	-0.4239258	3.240834	-0.007074269	-0.9396275	3.311934	-0.04480023	-0.878282	3.30932	0.3403563	-0.9482857	3.28941	0.3884997	-0.8774382	3.294436
38	-0.06728712	-1.016847	3.194285	-0.08600756	-0.7316443	3.105448	-0.1042192	-0.4478417	3.004043	-0.0648277	-0.2975704	2.974318	-0.2492616	-0.528518	3.014417	-0.2827464	-0.799529	3.091299	-0.2531999	-1.038192	3.119966	-0.2219257	-1.084404	3.13849	0.07770165	-0.5168407	3.075258	0.1216809	-0.7841649	3.163387	0.1355769	-1.02634	3.168478	0.09916279	-1.059795	3.170749	-0.1400464	-1.008941	3.148259	-0.1855095	-1.268221	3.2654	-0.2025261	-1.625716	3.506169	-0.1844146	-1.668953	3.400279	0.006901667	-1.003138	3.172588	0.05097465	-1.28456	3.296525	0.05633603	-1.629377	3.528828	0.07299484	-1.692211	3.496743	-0.09974224	-0.5186635	3.031761	-0.2221733	-1.158368	3.159185	-0.2472155	-1.085883	3.137587	0.1047691	-1.097925	3.197195	0.1143804	-1.081124	3.187415
38	-0.06726009	-1.016593	3.194666	-0.08600396	-0.7313416	3.105879	-0.1042216	-0.4475003	3.004505	-0.06471422	-0.2971971	2.975011	-0.2492631	-0.5283812	3.014733	-0.2827194	-0.7993789	3.091619	-0.2530931	-1.038028	3.120296	-0.2219585	-1.084534	3.138786	0.07771392	-0.5165852	3.075601	0.1216834	-0.7841623	3.163766	0.1373498	-1.026428	3.169284	0.09945624	-1.059416	3.171214	-0.139995	-1.008693	3.14866	-0.1856601	-1.268663	3.266463	-0.202459	-1.627427	3.506696	-0.196258	-1.700669	3.428347	0.006906433	-1.002883	3.172948	0.05103599	-1.284907	3.297133	0.05632921	-1.629457	3.528334	0.07562638	-1.695204	3.494267	-0.09974857	-0.5183306	3.032214	-0.2209381	-1.158678	3.158716	-0.2468224	-1.094069	3.140963	0.1020309	-1.098358	3.197318	0.114752	-1.079135	3.18541
38	-0.06726009	-1.016593	3.194666	-0.08600396	-0.7313416	3.105879	-0.1042216	-0.4475003	3.004505	-0.06471422	-0.2971971	2.975011	-0.2492631	-0.5283812	3.014733	-0.2827194	-0.7993789	3.091619	-0.2530931	-1.038028	3.120296	-0.2219585	-1.084534	3.138786	0.07771392	-0.5165852	3.075601	0.1216834	-0.7841623	3.163766	0.1373498	-1.026428	3.169284	0.09945624	-1.059416	3.171214	-0.139995	-1.008693	3.14866	-0.1856601	-1.268663	3.266463	-0.202459	-1.627427	3.506696	-0.196258	-1.700669	3.428347	0.006906433	-1.002883	3.172948	0.05103599	-1.284907	3.297133	0.05632921	-1.629457	3.528334	0.07562638	-1.695204	3.494267	-0.09974857	-0.5183306	3.032214	-0.2209381	-1.158678	3.158716	-0.2468224	-1.094069	3.140963	0.1020309	-1.098358	3.197318	0.114752	-1.079135	3.18541
38	-0.06721465	-1.016289	3.195123	-0.08598597	-0.7310456	3.106306	-0.1042117	-0.4471998	3.004913	-0.06461117	-0.2968924	2.975609	-0.2492506	-0.5282417	3.015049	-0.2826714	-0.7992547	3.091929	-0.2529842	-1.037886	3.120655	-0.221985	-1.084519	3.13893	0.07772093	-0.5162938	3.075942	0.1216854	-0.7841243	3.164183	0.1388139	-1.026417	3.169948	0.09976415	-1.059038	3.172278	-0.1399272	-1.008405	3.149117	-0.1857972	-1.269092	3.267406	-0.2023901	-1.628928	3.507129	-0.1959529	-1.702921	3.430186	0.00692919	-1.002572	3.173399	0.05110268	-1.285146	3.297614	0.05629963	-1.629678	3.527817	0.07615511	-1.696851	3.492547	-0.09974157	-0.5180324	3.032624	-0.2211941	-1.158266	3.159111	-0.2467274	-1.094268	3.140799	0.1016221	-1.097908	3.197611	0.1139077	-1.082986	3.188134
38	-0.06721465	-1.016289	3.195123	-0.08598597	-0.7310456	3.106306	-0.1042117	-0.4471998	3.004913	-0.06461117	-0.2968924	2.975609	-0.2492506	-0.5282417	3.015049	-0.2826714	-0.7992547	3.091929	-0.2529842	-1.037886	3.120655	-0.221985	-1.084519	3.13893	0.07772093	-0.5162938	3.075942	0.1216854	-0.7841243	3.164183	0.1388139	-1.026417	3.169948	0.09976415	-1.059038	3.172278	-0.1399272	-1.008405	3.149117	-0.1857972	-1.269092	3.267406	-0.2023901	-1.628928	3.507129	-0.1959529	-1.702921	3.430186	0.00692919	-1.002572	3.173399	0.05110268	-1.285146	3.297614	0.05629963	-1.629678	3.527817	0.07615511	-1.696851	3.492547	-0.09974157	-0.5180324	3.032624	-0.2211941	-1.158266	3.159111	-0.2467274	-1.094268	3.140799	0.1016221	-1.097908	3.197611	0.1139077	-1.082986	3.188134
38	-0.06714863	-1.015968	3.195621	-0.08595045	-0.730763	3.106722	-0.1041875	-0.4469349	3.005275	-0.06451527	-0.296646	2.976151	-0.2492264	-0.5281123	3.015356	-0.2826139	-0.7991471	3.092221	-0.2528803	-1.037762	3.121007	-0.2219073	-1.083786	3.139574	0.0777289	-0.5160299	3.076247	0.1216913	-0.7841129	3.164607	0.1400326	-1.026431	3.170543	0.1003169	-1.059616	3.173039	-0.1398371	-1.008092	3.149637	-0.1859411	-1.269391	3.268129	-0.202336	-1.630253	3.507506	-0.1942881	-1.701919	3.429291	0.006970062	-1.002253	3.17387	0.0511693	-1.285357	3.298082	0.05629548	-1.629885	3.52773	0.07633176	-1.697635	3.491457	-0.099719	-0.5177652	3.032995	-0.2223292	-1.155414	3.161089	-0.2476449	-1.077433	3.138673	0.101639	-1.102162	3.194364	0.113703	-1.083111	3.187702
38	-0.06714863	-1.015968	3.195621	-0.08595045	-0.730763	3.106722	-0.1041875	-0.4469349	3.005275	-0.06451527	-0.296646	2.976151	-0.2492264	-0.5281123	3.015356	-0.2826139	-0.7991471	3.092221	-0.2528803	-1.037762	3.121007	-0.2219073	-1.083786	3.139574	0.0777289	-0.5160299	3.076247	0.1216913	-0.7841129	3.164607	0.1400326	-1.026431	3.170543	0.1003169	-1.059616	3.173039	-0.1398371	-1.008092	3.149637	-0.1859411	-1.269391	3.268129	-0.202336	-1.630253	3.507506	-0.1942881	-1.701919	3.429291	0.006970062	-1.002253	3.17387	0.0511693	-1.285357	3.298082	0.05629548	-1.629885	3.52773	0.07633176	-1.697635	3.491457	-0.099719	-0.5177652	3.032995	-0.2223292	-1.155414	3.161089	-0.2476449	-1.077433	3.138673	0.101639	-1.102162	3.194364	0.113703	-1.083111	3.187702
38	-0.06707405	-1.015643	3.196136	-0.08589718	-0.7304756	3.107149	-0.1041403	-0.4466709	3.005633	-0.06441759	-0.2964157	2.976643	-0.2491973	-0.5279924	3.015649	-0.2825558	-0.7990553	3.092493	-0.2527666	-1.037652	3.121349	-0.2218982	-1.083742	3.13993	0.07773817	-0.5157917	3.076531	0.1216949	-0.7840506	3.165053	0.1409462	-1.026377	3.171021	0.1014074	-1.061349	3.176594	-0.1397383	-1.007764	3.150187	-0.1860257	-1.269434	3.268487	-0.2026589	-1.629544	3.506869	-0.1918192	-1.688554	3.420643	0.007019036	-1.001942	3.174343	0.05122731	-1.285498	3.298475	0.05625722	-1.629883	3.527613	0.07449425	-1.696135	3.488435	-0.09967401	-0.5174968	3.033365	-0.2236218	-1.15532	3.162485	-0.2479713	-1.076004	3.139258	0.1006908	-1.107836	3.192577	0.1136262	-1.083066	3.188138
38	-0.06707405	-1.015643	3.196136	-0.08589718	-0.7304756	3.107149	-0.1041403	-0.4466709	3.005633	-0.06441759	-0.2964157	2.976643	-0.2491973	-0.5279924	3.015649	-0.2825558	-0.7990553	3.092493	-0.2527666	-1.037652	3.121349	-0.2218982	-1.083742	3.13993	0.07773817	-0.5157917	3.076531	0.1216949	-0.7840506	3.165053	0.1409462	-1.026377	3.171021	0.1014074	-1.061349	3.176594	-0.1397383	-1.007764	3.150187	-0.1860257	-1.269434	3.268487	-0.2026589	-1.629544	3.506869	-0.1918192	-1.688554	3.420643	0.007019036	-1.001942	3.174343	0.05122731	-1.285498	3.298475	0.05625722	-1.629883	3.527613	0.07449425	-1.696135	3.488435	-0.09967401	-0.5174968	3.033365	-0.2236218	-1.15532	3.162485	-0.2479713	-1.076004	3.139258	0.1006908	-1.107836	3.192577	0.1136262	-1.083066	3.188138
