p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
3	0.10678	-0.1301412	3.27194	0.1231359	0.1075975	3.180315	0.1349256	0.3443071	3.078377	0.1022755	0.4619047	3.097565	-0.0004888633	0.1775295	3.034889	-0.07826739	-0.003952227	3.11894	-0.09442685	-0.2182666	3.048507	-0.1005273	-0.2871496	3.03618	0.2204901	0.2237633	3.022778	0.333443	0.07059005	3.171157	0.03847486	0.0170377	3.10737	-0.0463912	-0.0368473	3.123529	0.03895543	-0.1234564	3.232593	-0.02606643	-0.4185605	3.580332	-0.0548053	-0.7829837	3.878737	-0.0378322	-0.8491588	3.80837	0.1681118	-0.1275373	3.252868	0.2343876	-0.4934534	3.541304	0.2600276	-0.9451892	3.741711	0.2924134	-0.9808267	3.745076	0.1325021	0.2856811	3.105432	-0.106279	-0.2832606	3.035462	-0.09986229	-0.2851877	3.016538	-0.1126218	-0.07056812	3.147365	0.0153792	-0.1072135	3.145232
4	0.1662668	-0.06142678	3.614764	0.1561399	0.1987833	3.458701	0.1395537	0.4543518	3.29041	0.1794969	0.5624914	3.289056	-0.01697862	0.3725349	3.333355	-0.1068028	0.1839561	3.46958	-0.1096792	-0.01143759	3.622202	-0.1133015	-0.07692298	3.664656	0.3088425	0.3313179	3.315625	0.3407049	0.1230164	3.407314	0.3884178	-0.01375251	3.552116	0.4116049	-0.07484391	3.619174	0.09681305	-0.05058555	3.582018	0.07502524	-0.4093657	3.879209	-0.008692399	-0.7548749	3.999159	0.07632229	-0.8002739	4.001271	0.2238681	-0.06773023	3.57725	0.2719972	-0.3812509	3.815853	0.2911806	-0.7207626	3.997329	0.3115898	-0.7988817	3.90812	0.144647	0.3922163	3.334593	-0.09440109	-0.1521616	3.684388	-0.1419329	-0.1083851	3.640598	0.4341135	-0.1225645	3.667531	0.4269023	-0.04809548	3.588468
4	0.1302145	-0.06083253	3.625299	0.1459893	0.1999207	3.459624	0.1340269	0.4540265	3.290485	0.171942	0.5621808	3.288305	-0.02187701	0.3760402	3.339508	-0.1151191	0.1918925	3.481689	-0.132575	-0.007710785	3.635711	-0.1439498	-0.08672117	3.687263	0.2996112	0.3271619	3.312072	0.3317891	0.1212749	3.399425	0.3882208	-0.04583343	3.561309	0.4114118	-0.1078504	3.650673	0.0660224	-0.05155666	3.603999	0.06376833	-0.4138187	3.886222	-0.05582376	-0.7778175	4.015618	0.049095	-0.7982756	3.991964	0.1871668	-0.06795784	3.577154	0.2155026	-0.3994602	3.8124	0.2774995	-0.739106	3.980432	0.2779956	-0.8243909	3.903398	0.1389976	0.3923954	3.33476	-0.1185793	-0.157998	3.709717	-0.1720134	-0.1167048	3.658332	0.4267156	-0.1637886	3.70096	0.4334077	-0.104031	3.621318
4	0.1302145	-0.06083253	3.625299	0.1459893	0.1999207	3.459624	0.1340269	0.4540265	3.290485	0.171942	0.5621808	3.288305	-0.02187701	0.3760402	3.339508	-0.1151191	0.1918925	3.481689	-0.132575	-0.007710785	3.635711	-0.1439498	-0.08672117	3.687263	0.2996112	0.3271619	3.312072	0.3317891	0.1212749	3.399425	0.3882208	-0.04583343	3.561309	0.4114118	-0.1078504	3.650673	0.0660224	-0.05155666	3.603999	0.06376833	-0.4138187	3.886222	-0.05582376	-0.7778175	4.015618	0.049095	-0.7982756	3.991964	0.1871668	-0.06795784	3.577154	0.2155026	-0.3994602	3.8124	0.2774995	-0.739106	3.980432	0.2779956	-0.8243909	3.903398	0.1389976	0.3923954	3.33476	-0.1185793	-0.157998	3.709717	-0.1720134	-0.1167048	3.658332	0.4267156	-0.1637886	3.70096	0.4334077	-0.104031	3.621318
4	0.1210687	-0.05968359	3.626934	0.1380673	0.1994952	3.460493	0.1253469	0.4497772	3.291947	0.1644335	0.5606049	3.289264	-0.02544658	0.3774197	3.344423	-0.1201201	0.1960982	3.488952	-0.1480488	-0.004715507	3.644868	-0.1726282	-0.07266122	3.700328	0.292258	0.3280288	3.311141	0.3256398	0.1207323	3.394007	0.3852948	-0.05786586	3.563361	0.4088721	-0.1246336	3.658875	0.05658054	-0.05226125	3.611782	0.05649634	-0.4164678	3.890687	-0.03059683	-0.737868	3.997581	0.0072873	-0.7938049	3.93514	0.1787841	-0.06554546	3.572379	0.1827592	-0.4272837	3.816765	0.2542508	-0.7933939	3.968232	0.2393693	-0.8783195	3.882277	0.1300996	0.3887449	3.336101	-0.1632837	-0.141307	3.720806	-0.1981928	-0.1166752	3.682949	0.4280814	-0.1848139	3.702681	0.4331914	-0.1386045	3.645185
4	0.1210687	-0.05968359	3.626934	0.1380673	0.1994952	3.460493	0.1253469	0.4497772	3.291947	0.1644335	0.5606049	3.289264	-0.02544658	0.3774197	3.344423	-0.1201201	0.1960982	3.488952	-0.1480488	-0.004715507	3.644868	-0.1726282	-0.07266122	3.700328	0.292258	0.3280288	3.311141	0.3256398	0.1207323	3.394007	0.3852948	-0.05786586	3.563361	0.4088721	-0.1246336	3.658875	0.05658054	-0.05226125	3.611782	0.05649634	-0.4164678	3.890687	-0.03059683	-0.737868	3.997581	0.0072873	-0.7938049	3.93514	0.1787841	-0.06554546	3.572379	0.1827592	-0.4272837	3.816765	0.2542508	-0.7933939	3.968232	0.2393693	-0.8783195	3.882277	0.1300996	0.3887449	3.336101	-0.1632837	-0.141307	3.720806	-0.1981928	-0.1166752	3.682949	0.4280814	-0.1848139	3.702681	0.4331914	-0.1386045	3.645185
4	0.1092355	-0.05612237	3.630071	0.1194626	0.2038793	3.465592	0.1166668	0.4512313	3.294029	0.1586718	0.5602707	3.289597	-0.02837434	0.3780699	3.348269	-0.1248012	0.1995317	3.494743	-0.16449	0.0003261857	3.652183	-0.1962525	-0.04884156	3.713594	0.2861223	0.3295976	3.31143	0.3010481	0.145189	3.389733	0.3714859	-0.04993063	3.556285	0.3845633	-0.1208613	3.63989	0.04696891	-0.05101281	3.619652	0.05322768	-0.4172958	3.892672	-0.04535521	-0.7476484	4.004176	-0.001201438	-0.8111667	3.949154	0.1649105	-0.05883737	3.570913	0.14962	-0.4197124	3.812636	0.2419298	-0.8079897	3.959096	0.2192557	-0.8930306	3.868558	0.1189688	0.3906417	3.338836	-0.2088335	-0.1182763	3.735188	-0.220316	-0.08255318	3.69381	0.4070718	-0.1758681	3.671959	0.4281234	-0.1585343	3.653977
4	0.1092355	-0.05612237	3.630071	0.1194626	0.2038793	3.465592	0.1166668	0.4512313	3.294029	0.1586718	0.5602707	3.289597	-0.02837434	0.3780699	3.348269	-0.1248012	0.1995317	3.494743	-0.16449	0.0003261857	3.652183	-0.1962525	-0.04884156	3.713594	0.2861223	0.3295976	3.31143	0.3010481	0.145189	3.389733	0.3714859	-0.04993063	3.556285	0.3845633	-0.1208613	3.63989	0.04696891	-0.05101281	3.619652	0.05322768	-0.4172958	3.892672	-0.04535521	-0.7476484	4.004176	-0.001201438	-0.8111667	3.949154	0.1649105	-0.05883737	3.570913	0.14962	-0.4197124	3.812636	0.2419298	-0.8079897	3.959096	0.2192557	-0.8930306	3.868558	0.1189688	0.3906417	3.338836	-0.2088335	-0.1182763	3.735188	-0.220316	-0.08255318	3.69381	0.4070718	-0.1758681	3.671959	0.4281234	-0.1585343	3.653977
4	0.09920525	-0.05375632	3.632783	0.1010243	0.2063245	3.472699	0.0987442	0.4543315	3.304308	0.1487991	0.5577791	3.294428	-0.03026522	0.3779115	3.350962	-0.1284684	0.202315	3.499133	-0.1854668	0.01345176	3.662646	-0.2209052	-0.06588779	3.758766	0.2826897	0.3304535	3.31256	0.2995225	0.1533981	3.399928	0.3586008	-0.04878722	3.550737	0.3634394	-0.1240291	3.627691	0.03914612	-0.05022297	3.625021	0.05042709	-0.4179722	3.894113	-0.02821199	-0.7362167	4.001543	-0.01800453	-0.8123168	3.92451	0.1543455	-0.05498566	3.571287	0.1335867	-0.4297722	3.8157	0.2294737	-0.8176208	3.954774	0.2072496	-0.9023659	3.862103	0.09982601	0.3932749	3.348524	-0.221728	-0.1210713	3.787712	-0.2509181	-0.08814111	3.73327	0.3895825	-0.1817087	3.65476	0.3976884	-0.1531588	3.628277
4	0.09920525	-0.05375632	3.632783	0.1010243	0.2063245	3.472699	0.0987442	0.4543315	3.304308	0.1487991	0.5577791	3.294428	-0.03026522	0.3779115	3.350962	-0.1284684	0.202315	3.499133	-0.1854668	0.01345176	3.662646	-0.2209052	-0.06588779	3.758766	0.2826897	0.3304535	3.31256	0.2995225	0.1533981	3.399928	0.3586008	-0.04878722	3.550737	0.3634394	-0.1240291	3.627691	0.03914612	-0.05022297	3.625021	0.05042709	-0.4179722	3.894113	-0.02821199	-0.7362167	4.001543	-0.01800453	-0.8123168	3.92451	0.1543455	-0.05498566	3.571287	0.1335867	-0.4297722	3.8157	0.2294737	-0.8176208	3.954774	0.2072496	-0.9023659	3.862103	0.09982601	0.3932749	3.348524	-0.221728	-0.1210713	3.787712	-0.2509181	-0.08814111	3.73327	0.3895825	-0.1817087	3.65476	0.3976884	-0.1531588	3.628277
