p1/id	p1/hip:tx	p1/hip:ty	p1/hip:tz	p1/spine:tx	p1/spine:ty	p1/spine:tz	p1/neck:tx	p1/neck:ty	p1/neck:tz	p1/head:tx	p1/head:ty	p1/head:tz	p1/shoulder_l:tx	p1/shoulder_l:ty	p1/shoulder_l:tz	p1/elbow_l:tx	p1/elbow_l:ty	p1/elbow_l:tz	p1/wrist_l:tx	p1/wrist_l:ty	p1/wrist_l:tz	p1/hand_l:tx	p1/hand_l:ty	p1/hand_l:tz	p1/shoulder_r:tx	p1/shoulder_r:ty	p1/shoulder_r:tz	p1/elbow_r:tx	p1/elbow_r:ty	p1/elbow_r:tz	p1/wrist_r:tx	p1/wrist_r:ty	p1/wrist_r:tz	p1/hand_r:tx	p1/hand_r:ty	p1/hand_r:tz	p1/hip_l:tx	p1/hip_l:ty	p1/hip_l:tz	p1/knee_l:tx	p1/knee_l:ty	p1/knee_l:tz	p1/ankle_l:tx	p1/ankle_l:ty	p1/ankle_l:tz	p1/foot_l:tx	p1/foot_l:ty	p1/foot_l:tz	p1/hip_r:tx	p1/hip_r:ty	p1/hip_r:tz	p1/knee_r:tx	p1/knee_r:ty	p1/knee_r:tz	p1/ankle_r:tx	p1/ankle_r:ty	p1/ankle_r:tz	p1/foot_r:tx	p1/foot_r:ty	p1/foot_r:tz	p1/shoulder_c:tx	p1/shoulder_c:ty	p1/shoulder_c:tz	p1/handtip_l:tx	p1/handtip_l:ty	p1/handtip_l:tz	p1/thumb_l:tx	p1/thumb_l:ty	p1/thumb_l:tz	p1/handtip_r:tx	p1/handtip_r:ty	p1/handtip_r:tz	p1/thumb_r:tx	p1/thumb_r:ty	p1/thumb_r:tz
32	-0.1572166	-0.3875804	3.613133	-0.1325996	-0.080751	3.479387	-0.108417	0.2205378	3.334358	-0.0986113	0.3648061	3.384246	-0.2942733	0.0998746	3.358278	-0.4594765	-0.107834	3.421218	-0.4498034	-0.28589	3.549372	-0.4051466	-0.3017198	3.594807	0.06452011	0.06044294	3.369672	0.13267	-0.1821921	3.420515	0.1011321	-0.3264399	3.552173	0.0357736	-0.3476261	3.582579	-0.2503995	-0.3847055	3.579456	-0.2795875	-0.8190159	3.876021	-0.3119474	-1.169836	3.998121	-0.3222536	-1.240197	3.922707	-0.06765255	-0.3897719	3.580118	-0.06175296	-0.8519658	3.861115	-0.03830107	-1.162996	3.964257	-0.02361749	-1.242169	3.900077	-0.1144418	0.1457736	3.373016	-0.3879021	-0.4452727	3.662911	-0.3462609	-0.3629109	3.500374	0.03207316	-0.4542084	3.671268	-0.009960016	-0.392792	3.52077
32	0.00409652	-0.4795665	3.469293	0.00189784	-0.1677902	3.394759	0.001633347	0.1404637	3.306278	0.009994414	0.2828664	3.309862	-0.2007408	0.01457803	3.305285	-0.2885047	-0.2298382	3.386797	-0.2654524	-0.4318157	3.398295	-0.2504862	-0.4496199	3.398314	0.2049943	0.03019462	3.375109	0.2735233	-0.2012105	3.497173	0.2820812	-0.4076177	3.513788	0.2518043	-0.4265291	3.505922	-0.08471453	-0.4778849	3.418489	-0.1402269	-0.8444654	3.674089	-0.1606328	-1.185407	3.921519	-0.1358555	-1.286417	3.87373	0.09267212	-0.4705214	3.443287	0.1040937	-0.7967894	3.708909	0.08818394	-1.167841	3.962391	0.1418641	-1.265213	3.936556	0.00157275	0.06408308	3.331036	-0.212432	-0.5449136	3.413925	-0.2016385	-0.4375998	3.367313	0.2266396	-0.5158139	3.510294	0.2189897	-0.4393881	3.453392
32	0.004305885	-0.4797839	3.468846	0.002077598	-0.1678509	3.394396	0.001697321	0.1403575	3.30591	0.01072013	0.2825175	3.308623	-0.2001646	0.01420879	3.304271	-0.2884248	-0.2303362	3.385108	-0.2639441	-0.4325147	3.395416	-0.2492778	-0.4504391	3.395285	0.2048805	0.03012262	3.375063	0.2732313	-0.201182	3.49724	0.2774974	-0.4072582	3.511296	0.2519745	-0.4294715	3.506299	-0.08438804	-0.4780777	3.417524	-0.1362838	-0.8344319	3.658322	-0.1595678	-1.18619	3.920718	-0.1361086	-1.286169	3.874078	0.09283506	-0.4707811	3.443081	0.1067818	-0.7902015	3.702022	0.08831419	-1.164045	3.959904	0.1402885	-1.265809	3.934317	0.001672295	0.06399469	3.330667	-0.2106135	-0.5466557	3.413346	-0.2001845	-0.4382954	3.364607	0.2275386	-0.5166467	3.509878	0.2201263	-0.4422623	3.456698
32	0.004305885	-0.4797839	3.468846	0.002077598	-0.1678509	3.394396	0.001697321	0.1403575	3.30591	0.01072013	0.2825175	3.308623	-0.2001646	0.01420879	3.304271	-0.2884248	-0.2303362	3.385108	-0.2639441	-0.4325147	3.395416	-0.2492778	-0.4504391	3.395285	0.2048805	0.03012262	3.375063	0.2732313	-0.201182	3.49724	0.2774974	-0.4072582	3.511296	0.2519745	-0.4294715	3.506299	-0.08438804	-0.4780777	3.417524	-0.1362838	-0.8344319	3.658322	-0.1595678	-1.18619	3.920718	-0.1361086	-1.286169	3.874078	0.09283506	-0.4707811	3.443081	0.1067818	-0.7902015	3.702022	0.08831419	-1.164045	3.959904	0.1402885	-1.265809	3.934317	0.001672295	0.06399469	3.330667	-0.2106135	-0.5466557	3.413346	-0.2001845	-0.4382954	3.364607	0.2275386	-0.5166467	3.509878	0.2201263	-0.4422623	3.456698
32	0.004782805	-0.4800679	3.468062	0.002296496	-0.1679379	3.393877	0.001679734	0.1402212	3.305402	0.0117889	0.2822468	3.306563	-0.1996026	0.01368809	3.303166	-0.2883742	-0.2310084	3.383319	-0.2618724	-0.4334005	3.392162	-0.2479153	-0.4512421	3.392421	0.2048094	0.03008282	3.375084	0.2729418	-0.201167	3.497346	0.2740121	-0.4070118	3.509426	0.2521015	-0.43193	3.506998	-0.08357382	-0.4783295	3.415688	-0.1330169	-0.8259273	3.647255	-0.1584678	-1.186599	3.919756	-0.1363721	-1.285921	3.874447	0.09313149	-0.4710836	3.442793	0.1042541	-0.7955792	3.707449	0.0871892	-1.16497	3.960024	0.1023514	-1.270644	3.932141	0.001725359	0.0638803	3.330169	-0.2090202	-0.5478099	3.412251	-0.1983754	-0.4376758	3.361689	0.227439	-0.5228043	3.513282	0.2207218	-0.4460447	3.459812
32	0.004782805	-0.4800679	3.468062	0.002296496	-0.1679379	3.393877	0.001679734	0.1402212	3.305402	0.0117889	0.2822468	3.306563	-0.1996026	0.01368809	3.303166	-0.2883742	-0.2310084	3.383319	-0.2618724	-0.4334005	3.392162	-0.2479153	-0.4512421	3.392421	0.2048094	0.03008282	3.375084	0.2729418	-0.201167	3.497346	0.2740121	-0.4070118	3.509426	0.2521015	-0.43193	3.506998	-0.08357382	-0.4783295	3.415688	-0.1330169	-0.8259273	3.647255	-0.1584678	-1.186599	3.919756	-0.1363721	-1.285921	3.874447	0.09313149	-0.4710836	3.442793	0.1042541	-0.7955792	3.707449	0.0871892	-1.16497	3.960024	0.1023514	-1.270644	3.932141	0.001725359	0.0638803	3.330169	-0.2090202	-0.5478099	3.412251	-0.1983754	-0.4376758	3.361689	0.227439	-0.5228043	3.513282	0.2207218	-0.4460447	3.459812
32	0.005447633	-0.4804047	3.466949	0.00254127	-0.1680744	3.393135	0.001551436	0.140019	3.304694	0.01313471	0.2818736	3.30374	-0.19899	0.01299665	3.301926	-0.2883359	-0.2317513	3.381602	-0.2589824	-0.4344295	3.38796	-0.2450922	-0.4528323	3.388162	0.2047489	0.03006628	3.375224	0.2726913	-0.2011648	3.497506	0.27152	-0.4068508	3.508126	0.2577696	-0.4261034	3.50998	-0.08252799	-0.4786319	3.413337	-0.131272	-0.8215097	3.641441	-0.1572306	-1.186984	3.918695	-0.1366239	-1.285686	3.874812	0.0935213	-0.4714158	3.442399	0.1022419	-0.8001104	3.712104	0.08590353	-1.166836	3.960936	0.09975616	-1.270184	3.935288	0.001706977	0.06370749	3.329476	-0.2061241	-0.5496435	3.409993	-0.1960302	-0.4390747	3.358497	0.2359724	-0.5087256	3.518808	0.2240899	-0.4332928	3.458835
32	0.005447633	-0.4804047	3.466949	0.00254127	-0.1680744	3.393135	0.001551436	0.140019	3.304694	0.01313471	0.2818736	3.30374	-0.19899	0.01299665	3.301926	-0.2883359	-0.2317513	3.381602	-0.2589824	-0.4344295	3.38796	-0.2450922	-0.4528323	3.388162	0.2047489	0.03006628	3.375224	0.2726913	-0.2011648	3.497506	0.27152	-0.4068508	3.508126	0.2577696	-0.4261034	3.50998	-0.08252799	-0.4786319	3.413337	-0.131272	-0.8215097	3.641441	-0.1572306	-1.186984	3.918695	-0.1366239	-1.285686	3.874812	0.0935213	-0.4714158	3.442399	0.1022419	-0.8001104	3.712104	0.08590353	-1.166836	3.960936	0.09975616	-1.270184	3.935288	0.001706977	0.06370749	3.329476	-0.2061241	-0.5496435	3.409993	-0.1960302	-0.4390747	3.358497	0.2359724	-0.5087256	3.518808	0.2240899	-0.4332928	3.458835
32	0.007256815	-0.4810049	3.464338	0.00294236	-0.1683736	3.391823	0.001228983	0.1396438	3.303669	0.01480572	0.2808038	3.299603	-0.1983819	0.01213591	3.300461	-0.288305	-0.2326296	3.379746	-0.2554114	-0.4355647	3.38273	-0.2420041	-0.4546514	3.383887	0.2046853	0.03006841	3.375501	0.2725015	-0.2011072	3.49782	0.2990732	-0.3979132	3.528105	0.2774635	-0.4123747	3.521593	-0.08049248	-0.479342	3.409487	-0.1301101	-0.8187478	3.637474	-0.1559231	-1.187175	3.917428	-0.1368541	-1.28547	3.875149	0.09498247	-0.4719	3.440937	0.1007911	-0.8035566	3.715604	0.08510944	-1.17002	3.962041	0.1040579	-1.271013	3.93598	0.001577445	0.06338149	3.328452	-0.2026335	-0.5533804	3.407198	-0.1925185	-0.4416393	3.35457	0.2849167	-0.4417539	3.528599	0.2604487	-0.4247757	3.473996
32	0.007256815	-0.4810049	3.464338	0.00294236	-0.1683736	3.391823	0.001228983	0.1396438	3.303669	0.01480572	0.2808038	3.299603	-0.1983819	0.01213591	3.300461	-0.288305	-0.2326296	3.379746	-0.2554114	-0.4355647	3.38273	-0.2420041	-0.4546514	3.383887	0.2046853	0.03006841	3.375501	0.2725015	-0.2011072	3.49782	0.2990732	-0.3979132	3.528105	0.2774635	-0.4123747	3.521593	-0.08049248	-0.479342	3.409487	-0.1301101	-0.8187478	3.637474	-0.1559231	-1.187175	3.917428	-0.1368541	-1.28547	3.875149	0.09498247	-0.4719	3.440937	0.1007911	-0.8035566	3.715604	0.08510944	-1.17002	3.962041	0.1040579	-1.271013	3.93598	0.001577445	0.06338149	3.328452	-0.2026335	-0.5533804	3.407198	-0.1925185	-0.4416393	3.35457	0.2849167	-0.4417539	3.528599	0.2604487	-0.4247757	3.473996
32	0.008754063	-0.4815409	3.462095	0.003271007	-0.1688752	3.390146	0.000391719	0.1386816	3.301683	0.01611537	0.2794212	3.2957	-0.1979048	0.0113876	3.299206	-0.2878546	-0.2341059	3.377	-0.2525395	-0.4370418	3.378247	-0.2397761	-0.45579	3.379927	0.2045916	0.0301461	3.376013	0.2721952	-0.2009942	3.498365	0.3118608	-0.3936968	3.53741	0.2796491	-0.4081011	3.523162	-0.07892165	-0.4799589	3.406292	-0.1293232	-0.8170065	3.634789	-0.154804	-1.187276	3.916344	-0.1370542	-1.285277	3.875447	0.09627386	-0.4723426	3.439631	0.09980727	-0.8059602	3.717975	0.08441891	-1.173611	3.9634	0.1091176	-1.270553	3.937407	0.001105023	0.06258561	3.326608	-0.2012252	-0.5538043	3.405546	-0.1903102	-0.4427765	3.351387	0.2535674	-0.4867454	3.5277	0.2532517	-0.4115669	3.467287
